,Species,Domain,Average Range,Genome_size,Exon_to_genome_ratio
0,Abditibacterium_utsteinense,bacteria,305408.0,3606331.0,11.808240124685666
1,Abiotrophia_defectiva,bacteria,297361.0,2041839.0,6.866532598424138
2,Abiotrophia_sp,bacteria,245655.0,2019024.0,8.218941198021616
3,Absicoccus_porci,bacteria,659620.0,2222132.0,3.368806282405021
4,Absiella_sp,bacteria,243782.5,4493266.0,18.43145426763611
5,Abyssibacter_profundi,bacteria,371714.0,3741513.0,10.065569227954825
6,Abyssicoccus_albus,bacteria,585922.0,1796177.0,3.065556507521479
7,Acanthochromis_polyacanthus,ensembl,1732447.0,991584656.0,572.3607452349191
8,Acaryochloris_marina,bacteria,2954216.0,8361599.0,2.8303952723836034
9,Acaryochloris_thomasi,bacteria,524545.0,5931841.0,11.308545501339255
10,Accipiter_nisus,ensembl,533365.0,1190649881.0,2232.335981926073
11,Acetanaerobacterium_elongatum,bacteria,124387.0,2916215.0,23.44469277336056
12,Acetatifactor_muris,bacteria,318037.0,6013646.0,18.908636416517574
13,Acetilactobacillus_jinshanensis,bacteria,712496.0,1616430.0,2.268686420695695
14,Acetitomaculum_ruminis,bacteria,254588.0,3082721.0,12.108665765864849
15,Acetivibrio_clariflavus,bacteria,2049418.0,4897678.0,2.3897896866329855
16,Acetivibrio_ethanolgignens,bacteria,139006.0,3660245.0,26.331561227572912
17,Acetivibrio_mesophilus,bacteria,382932.0,4044838.0,10.562810107277532
18,Acetivibrio_saccincola,bacteria,1590701.0,3759855.0,2.363646593545864
19,Acetivibrio_thermocellus,bacteria,682195.0,3828923.6666666665,5.612652785005265
20,Acetoanaerobium_noterae,bacteria,591425.0,2814227.0,4.758383565118147
21,Acetoanaerobium_sticklandii,bacteria,1233268.0,2715461.0,2.2018417732398796
22,Acetobacter_aceti,bacteria,761115.3333333334,3430908.0,4.507737329340363
23,Acetobacter_ascendens,bacteria,1349259.0,3142524.5,2.329074328946481
24,Acetobacter_cerevisiae,bacteria,221481.0,3212245.6666666665,14.503481863756559
25,Acetobacter_cibinongensis,bacteria,241664.0,3173902.5,13.133534576933263
26,Acetobacter_fabarum,bacteria,423962.0,3027698.0,7.141437204277742
27,Acetobacter_ghanensis,bacteria,1238356.0,2843936.0,2.2965415437887007
28,Acetobacter_indonesiensis,bacteria,280225.0,3371312.5,12.03073423142118
29,Acetobacter_malorum,bacteria,335995.85714285716,3551556.714285714,10.570239599042674
30,Acetobacter_okinawensis,bacteria,307843.0,2724937.0,8.851710124966297
31,Acetobacter_orientalis,bacteria,437351.4,2939373.2,6.720850099027921
32,Acetobacter_orleanensis,bacteria,268514.0,3013644.0,11.223414794014465
33,Acetobacter_oryzoeni,bacteria,1316515.0,3153180.0,2.395096143986206
34,Acetobacter_pasteurianus,bacteria,663590.6666666666,3261368.111111111,4.914728725003834
35,Acetobacter_persici,bacteria,983002.5,3555134.0,3.616607282280564
36,Acetobacter_pomorum,bacteria,679619.6666666666,3122918.6666666665,4.5950975521112545
37,Acetobacter_senegalensis,bacteria,689544.6666666666,3982175.0,5.775079110176088
38,Acetobacter_sp,bacteria,252976.0,2677434.5,10.583749051293402
39,Acetobacter_syzygii,bacteria,392246.0,2974254.0,7.582624169526267
40,Acetobacter_tropicalis,bacteria,542894.2,3842644.2,7.078071933721157
41,Acetobacteraceae_bacterium,bacteria,585550.75,3704708.75,6.326879010914084
42,Acetobacterium_bakii,bacteria,254777.0,4135635.0,16.232371838902257
43,Acetobacterium_sp,bacteria,1039605.0,3818488.5,3.673018598409973
44,Acetobacterium_wieringae,bacteria,315451.0,3895828.0,12.350025836025246
45,Acetobacterium_woodii,bacteria,1758211.0,4044777.0,2.300507163247187
46,Acetobacteroides_hydrogenigenes,bacteria,460438.0,3861100.0,8.385710996920324
47,Acetohalobium_arabaticum,bacteria,1086961.0,2469596.0,2.272018959281888
48,Acetomicrobium_mobile,bacteria,1000616.0,2160700.0,2.1593698281858376
49,Acetomicrobium_thermoterrenum,bacteria,265225.0,1967584.0,7.4185465171081155
50,Acetonema_longum,bacteria,172103.0,4323011.0,25.118742845853937
51,Acholeplasma_laidlawii,bacteria,689576.0,1496992.0,2.1708876178985346
52,Achromobacter_aegrifaciens,bacteria,915801.0,6872002.0,7.50381578530707
53,Achromobacter_agilis,bacteria,408480.0,6376476.0,15.610252643948296
54,Achromobacter_aloeverae,bacteria,1130879.0,6492157.0,5.740806045562788
55,Achromobacter_arsenitoxydans,bacteria,283392.0,6156664.0,21.72490401987353
56,Achromobacter_denitrificans,bacteria,287933.0,7090436.0,24.62529824646706
57,Achromobacter_insolitus,bacteria,2952998.0,6472476.0,2.1918321651420016
58,Achromobacter_insuavis,bacteria,2989175.0,6860805.0,2.2952169076751945
59,Achromobacter_kerstersii,bacteria,971903.0,6720738.0,6.915029586285875
60,Achromobacter_marplatensis,bacteria,830586.0,6887296.0,8.292092570787371
61,Achromobacter_piechaudii,bacteria,1800654.0,6166967.5,3.424848693863452
62,Achromobacter_pulmonis,bacteria,1065708.0,6943547.0,6.5154310561617255
63,Achromobacter_ruhlandii,bacteria,1754705.0,6479002.5,3.6923599693395754
64,Achromobacter_sp,bacteria,1316857.6363636365,6429443.545454546,4.8824135334847405
65,Achromobacter_spanius,bacteria,2364462.25,6501596.0,2.749714443527276
66,Achromobacter_veterisilvae,bacteria,312359.0,6814990.0,21.817812196863226
67,Achromobacter_xylosoxidans,bacteria,1549758.625,6736669.0,4.346914991358735
68,Acidaminobacter_hydrogenoformans,bacteria,354576.0,3615609.0,10.196993028292948
69,Acidaminococcus_fermentans,bacteria,591481.5,2337328.0,3.9516502206746957
70,Acidaminococcus_intestini,bacteria,606430.5,2363369.0,3.897180303431308
71,Acidaminococcus_sp,bacteria,206169.33333333334,2296550.0,11.139144521978697
72,Acidianus_brierleyi,bacteria,1274947.0,2947156.0,2.3115909916255344
73,Acidianus_hospitalis,bacteria,951535.0,2137654.0,2.246532182210849
74,Acidianus_manzaensis,bacteria,1165847.0,2687463.0,2.305159253315401
75,Acidianus_sulfidivorans,bacteria,1005514.0,2287077.0,2.27453521283642
76,Acidibacillus_ferrooxidans,bacteria,224576.33333333334,3119089.0,13.888769816944201
77,Acidibacillus_sulfuroxidans,bacteria,287908.0,2873735.0,9.981435041749448
78,Acidiferrobacteraceae_bacterium,bacteria,201274.25,2737491.5,13.600803381455899
79,Acidihalobacter_ferrooxydans,bacteria,1512769.0,3448835.0,2.27981601949802
80,Acidihalobacter_prosperus,bacteria,1332783.0,3484244.6666666665,2.6142625368620895
81,Acidilobus_saccharovorans,bacteria,682532.0,1496453.0,2.192502329561105
82,Acidimicrobiales_bacterium,bacteria,73230.0,2424133.0,33.10300423323774
83,Acidimicrobium_ferrooxidans,bacteria,983231.0,2158157.0,2.194964357307693
84,Acidiphilium_cryptum,bacteria,1626575.0,3963080.0,2.436456972472834
85,Acidiphilium_multivorum,bacteria,1776831.0,4214744.0,2.372056768482765
