Species_name,Domain,Genome_size,Num_exons,Exon_to_genome_ratio
Abditibacterium_utsteinense,bacteria,3606331,305408,11.8082401246857
Abiotrophia_defectiva,bacteria,2041839,297361,6.86653259842414
Abiotrophia_sp,bacteria,2019024,245655,8.21894119802162
Absicoccus_porci,bacteria,2222132,659620,3.36880628240502
Absiella_sp,bacteria,4493266,243783,18.4314542676361
Abyssibacter_profundi,bacteria,3741513,371714,10.0655692279548
Abyssicoccus_albus,bacteria,1796177,585922,3.06555650752148
Acanthochromis_polyacanthus,ensembl,991584656,1732447,572.360745234919
Acaryochloris_marina,bacteria,8361599,2954216,2.8303952723836
Acaryochloris_thomasi,bacteria,5931841,524545,11.3085455013393
Accipiter_nisus,ensembl,1190649881,533365,2232.33598192607
Acetanaerobacterium_elongatum,bacteria,2916215,124387,23.4446927733606
Acetatifactor_muris,bacteria,6013646,318037,18.9086364165176
Acetilactobacillus_jinshanensis,bacteria,1616430,712496,2.2686864206957
Acetitomaculum_ruminis,bacteria,3082721,254588,12.1086657658648
Acetivibrio_clariflavus,bacteria,4897678,2049418,2.38978968663299
Acetivibrio_ethanolgignens,bacteria,3660245,139006,26.3315612275729
Acetivibrio_mesophilus,bacteria,4044838,382932,10.5628101072775
Acetivibrio_saccincola,bacteria,3759855,1590701,2.36364659354586
Acetivibrio_thermocellus,bacteria,3828924,682195,5.61265278500527
Acetoanaerobium_noterae,bacteria,2814227,591425,4.75838356511815
Acetoanaerobium_sticklandii,bacteria,2715461,1233268,2.20184177323988
Acetobacter_aceti,bacteria,3430908,761115,4.50773732934036
Acetobacter_ascendens,bacteria,3142525,1349259,2.32907432894648
Acetobacter_cerevisiae,bacteria,3212246,221481,14.5034818637566
Acetobacter_cibinongensis,bacteria,3173903,241664,13.1335345769333
Acetobacter_fabarum,bacteria,3027698,423962,7.14143720427774
Acetobacter_ghanensis,bacteria,2843936,1238356,2.2965415437887
Acetobacter_indonesiensis,bacteria,3371313,280225,12.0307342314212
Acetobacter_malorum,bacteria,3551557,335996,10.5702395990427
Acetobacter_okinawensis,bacteria,2724937,307843,8.8517101249663
Acetobacter_orientalis,bacteria,2939373,437351,6.72085009902792
Acetobacter_orleanensis,bacteria,3013644,268514,11.2234147940145
Acetobacter_oryzoeni,bacteria,3153180,1316515,2.39509614398621
Acetobacter_pasteurianus,bacteria,3261368,663591,4.91472872500383
Acetobacter_persici,bacteria,3555134,983003,3.61660728228056
Acetobacter_pomorum,bacteria,3122919,679620,4.59509755211125
Acetobacter_senegalensis,bacteria,3982175,689545,5.77507911017609
Acetobacter_sp,bacteria,2677435,252976,10.5837490512934
Acetobacter_syzygii,bacteria,2974254,392246,7.58262416952627
Acetobacter_tropicalis,bacteria,3842644,542894,7.07807193372116
Acetobacteraceae_bacterium,bacteria,3704709,585551,6.32687901091408
Acetobacterium_bakii,bacteria,4135635,254777,16.2323718389023
Acetobacterium_sp,bacteria,3818489,1039605,3.67301859840997
Acetobacterium_wieringae,bacteria,3895828,315451,12.3500258360252
Acetobacterium_woodii,bacteria,4044777,1758211,2.30050716324719
Acetobacteroides_hydrogenigenes,bacteria,3861100,460438,8.38571099692032
Acetohalobium_arabaticum,bacteria,2469596,1086961,2.27201895928189
Acetomicrobium_mobile,bacteria,2160700,1000616,2.15936982818584
Acetomicrobium_thermoterrenum,bacteria,1967584,265225,7.41854651710812
Acetonema_longum,bacteria,4323011,172103,25.1187428458539
Acholeplasma_laidlawii,bacteria,1496992,689576,2.17088761789853
Achromobacter_aegrifaciens,bacteria,6872002,915801,7.50381578530707
Achromobacter_agilis,bacteria,6376476,408480,15.6102526439483
Achromobacter_aloeverae,bacteria,6492157,1130879,5.74080604556279
Achromobacter_arsenitoxydans,bacteria,6156664,283392,21.7249040198735
Achromobacter_denitrificans,bacteria,7090436,287933,24.6252982464671
Achromobacter_insolitus,bacteria,6472476,2952998,2.191832165142
Achromobacter_insuavis,bacteria,6860805,2989175,2.29521690767519
Achromobacter_kerstersii,bacteria,6720738,971903,6.91502958628588
Achromobacter_marplatensis,bacteria,6887296,830586,8.29209257078737
Achromobacter_piechaudii,bacteria,6166968,1800654,3.42484869386345
Achromobacter_pulmonis,bacteria,6943547,1065708,6.51543105616173
Achromobacter_ruhlandii,bacteria,6479003,1754705,3.69235996933958
Achromobacter_sp,bacteria,6429444,1316858,4.88241353348474
Achromobacter_spanius,bacteria,6501596,2364462,2.74971444352728
Achromobacter_veterisilvae,bacteria,6814990,312359,21.8178121968632
Achromobacter_xylosoxidans,bacteria,6736669,1549759,4.34691499135874
Acidaminobacter_hydrogenoformans,bacteria,3615609,354576,10.1969930282929
Acidaminococcus_fermentans,bacteria,2337328,591482,3.9516502206747
Acidaminococcus_intestini,bacteria,2363369,606431,3.89718030343131
Acidaminococcus_sp,bacteria,2296550,206169,11.1391445219787
Acidianus_brierleyi,bacteria,2947156,1274947,2.31159099162553
Acidianus_hospitalis,bacteria,2137654,951535,2.24653218221085
Acidianus_manzaensis,bacteria,2687463,1165847,2.3051592533154
Acidianus_sulfidivorans,bacteria,2287077,1005514,2.27453521283642
Acidibacillus_ferrooxidans,bacteria,3119089,224576,13.8887698169442
Acidibacillus_sulfuroxidans,bacteria,2873735,287908,9.98143504174945
Acidiferrobacteraceae_bacterium,bacteria,2737492,201274,13.6008033814559
Acidihalobacter_ferrooxydans,bacteria,3448835,1512769,2.27981601949802
Acidihalobacter_prosperus,bacteria,3484245,1332783,2.61426253686209
Acidilobus_saccharovorans,bacteria,1496453,682532,2.19250232956111
Acidimicrobiales_bacterium,bacteria,2424133,73230,33.1030042332377
Acidimicrobium_ferrooxidans,bacteria,2158157,983231,2.19496435730769
Acidiphilium_cryptum,bacteria,3963080,1626575,2.43645697247283
Acidiphilium_multivorum,bacteria,4214744,1776831,2.37205676848277
Acidiphilium_rubrum,bacteria,3976993,284589,13.9745141238769
Acidiphilium_sp,bacteria,3721678,167745,22.1865717286875
Acidipila_rosea,bacteria,4213726,962475,4.37801085742487
