Round,Species,GenomeSize,ExonStartRange,ExonEndRange,NoncodingStartRange,NoncodingEndRange,ActiveTE,TEMobilized,TEStatic,TEInExons,TEInNoncoding,TEMobilizeProb
958,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4790000,0,4263,9575737,0.5
853,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4265000,0,3779,8526221,0.5
377,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1885000,0,1660,3768340,0.5
507,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2535000,0,2243,5067757,0.5
980,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4900000,0,4358,9795642,0.5
24,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,120000,0,131,239869,0.5
750,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3750000,0,3319,7496681,0.5
642,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3210000,0,2846,6417154,0.5
337,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1685000,0,1475,3368525,0.5
428,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2140000,0,1883,4278117,0.5
526,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2630000,0,2328,5257672,0.5
623,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3115000,0,2755,6227245,0.5
783,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3915000,0,3451,7826549,0.5
249,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1245000,0,1102,2488898,0.5
235,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1175000,0,1034,2348966,0.5
998,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4990000,0,4443,9975557,0.5
913,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4565000,0,4066,9125934,0.5
532,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2660000,0,2345,5317655,0.5
199,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,995000,0,879,1989121,0.5
