id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
1,1,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,5000,0,442,4558,0.5
2,2,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,10000,0,854,9146,0.5
3,3,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,15000,0,1256,13744,0.5
4,4,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,20000,0,1684,18316,0.5
5,5,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,25000,0,2140,22860,0.5
6,6,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,30000,0,2539,27461,0.5
7,7,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,35000,0,2937,32063,0.5
8,8,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,40000,0,3391,36609,0.5
9,9,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,45000,0,3825,41175,0.5
10,10,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,50000,0,4259,45741,0.5
11,11,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,55000,0,4689,50311,0.5
12,12,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,60000,0,5092,54908,0.5
13,13,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,65000,0,5477,59523,0.5
14,14,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,70000,0,5877,64123,0.5
15,15,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,75000,0,6309,68691,0.5
16,16,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,80000,0,6749,73251,0.5
17,17,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,85000,0,7147,77853,0.5
18,18,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,90000,0,7569,82431,0.5
19,19,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,95000,0,7963,87037,0.5
20,20,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,100000,0,8383,91617,0.5
21,21,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,105000,0,8809,96191,0.5
22,22,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,110000,0,9262,100738,0.5
23,23,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,115000,0,9672,105328,0.5
24,24,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,120000,0,10063,109937,0.5
25,25,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,125000,0,10470,114530,0.5
26,26,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,130000,0,10861,119139,0.5
27,27,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,135000,0,11270,123730,0.5
28,28,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,140000,0,11702,128298,0.5
29,29,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,145000,0,12130,132870,0.5
30,30,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,150000,0,12535,137465,0.5
31,31,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,155000,0,12945,142055,0.5
32,32,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,160000,0,13337,146663,0.5
33,33,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,165000,0,13788,151212,0.5
34,34,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,170000,0,14198,155802,0.5
35,35,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,175000,0,14615,160385,0.5
36,36,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,180000,0,15076,164924,0.5
37,37,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,185000,0,15476,169524,0.5
38,38,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,190000,0,15881,174119,0.5
39,39,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,195000,0,16293,178707,0.5
40,40,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,200000,0,16713,183287,0.5
41,41,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,205000,0,17198,187802,0.5
42,42,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,210000,0,17593,192407,0.5
43,43,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,215000,0,17999,197001,0.5
44,44,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,220000,0,18391,201609,0.5
45,45,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,225000,0,18830,206170,0.5
46,46,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,230000,0,19240,210760,0.5
47,47,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,235000,0,19664,215336,0.5
48,48,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,240000,0,20108,219892,0.5
49,49,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,245000,0,20538,224462,0.5
50,50,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,250000,0,20961,229039,0.5
51,51,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,255000,0,21405,233595,0.5
52,52,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,260000,0,21829,238171,0.5
53,53,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,265000,0,22244,242756,0.5
54,54,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,270000,0,22650,247350,0.5
55,55,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,275000,0,23098,251902,0.5
56,56,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,280000,0,23512,256488,0.5
57,57,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,285000,0,23927,261073,0.5
58,58,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,290000,0,24365,265635,0.5
59,59,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,295000,0,24780,270220,0.5
60,60,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,300000,0,25189,274811,0.5
61,61,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,305000,0,25607,279393,0.5
62,62,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,310000,0,26011,283989,0.5
63,63,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,315000,0,26438,288562,0.5
64,64,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,320000,0,26828,293172,0.5
65,65,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,325000,0,27263,297737,0.5
66,66,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,330000,0,27735,302265,0.5
67,67,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,335000,0,28178,306822,0.5
68,68,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,340000,0,28600,311400,0.5
69,69,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,345000,0,29010,315990,0.5
70,70,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,350000,0,29425,320575,0.5
71,71,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,355000,0,29886,325114,0.5
72,72,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,360000,0,30302,329698,0.5
73,73,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,365000,0,30750,334250,0.5
74,74,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,370000,0,31148,338852,0.5
75,75,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,375000,0,31565,343435,0.5
76,76,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,380000,0,32032,347968,0.5
77,77,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,385000,0,32458,352542,0.5
78,78,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,390000,0,32898,357102,0.5
79,79,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,395000,0,33285,361715,0.5
80,80,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,400000,0,33739,366261,0.5
81,81,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,405000,0,34149,370851,0.5
82,82,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,410000,0,34575,375425,0.5
83,83,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,415000,0,34970,380030,0.5
84,84,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,420000,0,35377,384623,0.5
85,85,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,425000,0,35809,389191,0.5
86,86,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,430000,0,36202,393798,0.5
87,87,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,435000,0,36629,398371,0.5
88,88,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,440000,0,37064,402936,0.5
89,89,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,445000,0,37484,407516,0.5
90,90,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,450000,0,37893,412107,0.5
91,91,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,455000,0,38318,416682,0.5
92,92,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,460000,0,38741,421259,0.5
93,93,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,465000,0,39154,425846,0.5
94,94,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,470000,0,39560,430440,0.5
95,95,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,475000,0,39995,435005,0.5
96,96,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,480000,0,40443,439557,0.5
97,97,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,485000,0,40862,444138,0.5
98,98,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,490000,0,41289,448711,0.5
99,99,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,495000,0,41710,453290,0.5
100,100,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,500000,0,42146,457854,0.5
101,101,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,505000,0,42584,462416,0.5
102,102,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,510000,0,43021,466979,0.5
103,103,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,515000,0,43444,471556,0.5
104,104,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,520000,0,43855,476145,0.5
105,105,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,525000,0,44253,480747,0.5
106,106,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,530000,0,44670,485330,0.5
107,107,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,535000,0,45140,489860,0.5
108,108,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,540000,0,45545,494455,0.5
109,109,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,545000,0,45934,499066,0.5
110,110,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,550000,0,46386,503614,0.5
111,111,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,555000,0,46815,508185,0.5
112,112,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,560000,0,47217,512783,0.5
113,113,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,565000,0,47659,517341,0.5
114,114,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,570000,0,48105,521895,0.5
115,115,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,575000,0,48518,526482,0.5
116,116,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,580000,0,48969,531031,0.5
117,117,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,585000,0,49387,535613,0.5
118,118,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,590000,0,49813,540187,0.5
119,119,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,595000,0,50243,544757,0.5
120,120,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,600000,0,50660,549340,0.5
121,121,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,605000,0,51089,553911,0.5
122,122,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,610000,0,51510,558490,0.5
123,123,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,615000,0,51946,563054,0.5
124,124,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,620000,0,52393,567607,0.5
125,125,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,625000,0,52816,572184,0.5
126,126,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,630000,0,53205,576795,0.5
127,127,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,635000,0,53619,581381,0.5
128,128,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,640000,0,54055,585945,0.5
129,129,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,645000,0,54503,590497,0.5
130,130,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,650000,0,54948,595052,0.5
131,131,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,655000,0,55372,599628,0.5
132,132,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,660000,0,55802,604198,0.5
133,133,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,665000,0,56218,608782,0.5
134,134,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,670000,0,56619,613381,0.5
135,135,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,675000,0,57034,617966,0.5
