id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
1,1,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,5000,0,713,4287,0.5
2,2,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,10000,0,1427,8573,0.5
3,3,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,15000,0,2149,12851,0.5
4,4,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,20000,0,2911,17089,0.5
5,5,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,25000,0,3654,21346,0.5
6,6,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,30000,0,4357,25643,0.5
7,7,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,35000,0,5095,29905,0.5
8,8,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,40000,0,5793,34207,0.5
9,9,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,45000,0,6461,38539,0.5
10,10,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,50000,0,7171,42829,0.5
11,11,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,55000,0,7895,47105,0.5
12,12,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,60000,0,8593,51407,0.5
13,13,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,65000,0,9289,55711,0.5
14,14,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,70000,0,10032,59968,0.5
15,15,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,75000,0,10761,64239,0.5
16,16,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,80000,0,11479,68521,0.5
17,17,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,85000,0,12218,72782,0.5
18,18,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,90000,0,12941,77059,0.5
19,19,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,95000,0,13656,81344,0.5
20,20,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,100000,0,14383,85617,0.5
21,21,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,105000,0,15115,89885,0.5
22,22,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,110000,0,15843,94157,0.5
23,23,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,115000,0,16544,98456,0.5
24,24,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,120000,0,17250,102750,0.5
25,25,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,125000,0,17963,107037,0.5
26,26,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,130000,0,18673,111327,0.5
27,27,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,135000,0,19440,115560,0.5
28,28,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,140000,0,20197,119803,0.5
29,29,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,145000,0,20916,124084,0.5
30,30,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,150000,0,21636,128364,0.5
31,31,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,155000,0,22381,132619,0.5
32,32,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,160000,0,23090,136910,0.5
33,33,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,165000,0,23844,141156,0.5
34,34,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,170000,0,24613,145387,0.5
35,35,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,175000,0,25291,149709,0.5
36,36,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,180000,0,26035,153965,0.5
37,37,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,185000,0,26758,158242,0.5
38,38,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,190000,0,27512,162488,0.5
39,39,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,195000,0,28255,166745,0.5
40,40,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,200000,0,29026,170974,0.5
41,41,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,205000,0,29721,175279,0.5
42,42,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,210000,0,30442,179558,0.5
43,43,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,215000,0,31158,183842,0.5
44,44,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,220000,0,31893,188107,0.5
45,45,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,225000,0,32708,192292,0.5
46,46,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,230000,0,33425,196575,0.5
47,47,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,235000,0,34117,200883,0.5
48,48,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,240000,0,34857,205143,0.5
49,49,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,245000,0,35572,209428,0.5
50,50,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,250000,0,36372,213628,0.5
51,51,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,255000,0,37091,217909,0.5
52,52,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,260000,0,37817,222183,0.5
53,53,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,265000,0,38544,226456,0.5
54,54,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,270000,0,39294,230706,0.5
55,55,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,275000,0,40047,234953,0.5
56,56,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,280000,0,40765,239235,0.5
57,57,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,285000,0,41505,243495,0.5
58,58,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,290000,0,42230,247770,0.5
59,59,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,295000,0,42948,252052,0.5
60,60,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,300000,0,43688,256312,0.5
61,61,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,305000,0,44432,260568,0.5
62,62,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,310000,0,45136,264864,0.5
63,63,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,315000,0,45852,269148,0.5
64,64,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,320000,0,46603,273397,0.5
65,65,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,325000,0,47361,277639,0.5
66,66,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,330000,0,48105,281895,0.5
67,67,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,335000,0,48811,286189,0.5
68,68,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,340000,0,49507,290493,0.5
69,69,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,345000,0,50248,294752,0.5
70,70,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,350000,0,50975,299025,0.5
71,71,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,355000,0,51706,303294,0.5
72,72,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,360000,0,52410,307590,0.5
73,73,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,365000,0,53108,311892,0.5
74,74,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,370000,0,53842,316158,0.5
75,75,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,375000,0,54612,320388,0.5
76,76,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,380000,0,55329,324671,0.5
77,77,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,385000,0,56042,328958,0.5
78,78,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,390000,0,56744,333256,0.5
79,79,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,395000,0,57515,337485,0.5
80,80,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,400000,0,58269,341731,0.5
81,81,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,405000,0,59032,345968,0.5
82,82,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,410000,0,59765,350235,0.5
83,83,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,415000,0,60500,354500,0.5
84,84,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,420000,0,61202,358798,0.5
