Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190649881,0,535336,535337,1191862054,500,248,252,1,247,0.5
0,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190654411,0,535336,535337,1193159957,500,506,494,1,505,0.5
1,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190659722,0,535336,535337,1194418561,500,746,754,1,745,0.5
1,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190661078,0,535336,535337,1195614789,500,990,1010,1,989,0.5
2,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190667962,0,535336,535337,1196984861,500,1265,1235,1,1264,0.5
2,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190670731,0,535336,535337,1198248397,500,1510,1490,1,1509,0.5
3,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190674611,0,535336,535337,1199482066,500,1763,1737,1,1762,0.5
3,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190680730,0,535336,535337,1200738541,500,2006,1994,1,2005,0.5
4,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190684164,0,535336,535337,1202046094,500,2263,2237,1,2262,0.5
4,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190687651,0,535336,535337,1203324650,500,2514,2486,1,2513,0.5
5,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190693364,0,535336,535337,1204646266,500,2772,2728,1,2771,0.5
5,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190699943,0,535336,535337,1205875474,500,3012,2988,1,3011,0.5
6,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190702523,0,535336,535337,1207131814,500,3251,3249,1,3250,0.5
6,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190707078,0,535336,535337,1208417895,500,3511,3489,1,3510,0.5
7,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190714691,0,535336,535337,1209631090,500,3752,3748,1,3751,0.5
7,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190719957,0,535336,535337,1211031573,500,4022,3978,1,4021,0.5
8,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190725851,0,541828,541829,1212194859,500,4254,4246,2,4252,0.5
8,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190728461,0,548291,548292,1213417358,500,4490,4510,3,4487,0.5
9,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190733806,0,548291,548292,1214536479,500,4715,4785,3,4712,0.5
9,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190739765,0,548291,548292,1215755996,500,4957,5043,3,4954,0.5
10,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190745113,0,548291,548292,1216994585,500,5204,5296,3,5201,0.5
10,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190752080,0,548291,548292,1218322384,500,5458,5542,3,5455,0.5
11,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190757601,0,548291,548292,1219646218,500,5719,5781,3,5716,0.5
11,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190760843,0,548291,548292,1220885764,500,5964,6036,3,5961,0.5
12,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190764241,0,548291,548292,1222021758,500,6185,6315,3,6182,0.5
12,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190770710,0,548291,548292,1223300642,500,6457,6543,3,6454,0.5
13,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190775550,0,548291,548292,1224433215,500,6683,6817,3,6680,0.5
13,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190780271,0,548291,548292,1225742267,500,6942,7058,3,6939,0.5
14,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190788709,0,548291,548292,1227006028,500,7194,7306,3,7191,0.5
14,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190794015,0,548291,548292,1228276518,500,7445,7555,3,7442,0.5
15,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190801272,0,548291,548292,1229582116,500,7697,7803,3,7694,0.5
15,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190806309,0,548291,548292,1230898143,500,7972,8028,3,7969,0.5
16,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190809288,0,548291,548292,1232337291,500,8253,8247,3,8250,0.5
16,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190815001,0,548291,548292,1233509097,500,8503,8497,3,8500,0.5
17,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190815920,0,548291,548292,1234603660,500,8722,8778,3,8719,0.5
17,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190820318,0,548291,548292,1235859372,500,8966,9034,3,8963,0.5
18,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190828990,0,548291,548292,1237167860,500,9224,9276,3,9221,0.5
18,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190833052,0,548291,548292,1238416481,500,9470,9530,3,9467,0.5
19,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190834135,0,548291,548292,1239741954,500,9721,9779,3,9718,0.5
