Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Anas_platyrhynchos.ASM874695v1.112,1211992756,0,16224570,16224571,1213304004,500,257,243,0,257,0.5
0,Anas_platyrhynchos.ASM874695v1.112,1211997960,0,16237894,16237895,1214510196,500,493,507,3,490,0.5
1,Anas_platyrhynchos.ASM874695v1.112,1212004346,0,16273799,16273800,1215806112,500,745,755,8,737,0.5
1,Anas_platyrhynchos.ASM874695v1.112,1212009811,0,16293837,16293838,1217085571,500,1001,999,12,989,0.5
2,Anas_platyrhynchos.ASM874695v1.112,1212013705,0,16314400,16314401,1218352799,500,1248,1252,16,1232,0.5
2,Anas_platyrhynchos.ASM874695v1.112,1212020873,0,16325915,16325916,1219738453,500,1512,1488,18,1494,0.5
3,Anas_platyrhynchos.ASM874695v1.112,1212026804,0,16348315,16348316,1220988639,500,1769,1731,23,1746,0.5
3,Anas_platyrhynchos.ASM874695v1.112,1212030630,0,16372540,16372541,1222287888,500,2026,1974,27,1999,0.5
4,Anas_platyrhynchos.ASM874695v1.112,1212035970,0,16393739,16393740,1223558390,500,2273,2227,31,2242,0.5
4,Anas_platyrhynchos.ASM874695v1.112,1212040787,0,16422260,16422261,1224915186,500,2535,2465,36,2499,0.5
5,Anas_platyrhynchos.ASM874695v1.112,1212043842,0,16458358,16458359,1226103856,500,2777,2723,43,2734,0.5
5,Anas_platyrhynchos.ASM874695v1.112,1212046655,0,16477955,16477956,1227375488,500,3031,2969,46,2985,0.5
6,Anas_platyrhynchos.ASM874695v1.112,1212054098,0,16503729,16503730,1228694108,500,3293,3207,50,3243,0.5
6,Anas_platyrhynchos.ASM874695v1.112,1212059073,0,16513483,16513484,1230004286,500,3542,3458,52,3490,0.5
7,Anas_platyrhynchos.ASM874695v1.112,1212062739,0,16537971,16537972,1231229242,500,3796,3704,57,3739,0.5
7,Anas_platyrhynchos.ASM874695v1.112,1212066891,0,16560496,16560497,1232543664,500,4051,3949,62,3989,0.5
8,Anas_platyrhynchos.ASM874695v1.112,1212074260,0,16568376,16568377,1233822420,500,4303,4197,64,4239,0.5
8,Anas_platyrhynchos.ASM874695v1.112,1212078881,0,16588863,16588864,1235141769,500,4561,4439,68,4493,0.5
9,Anas_platyrhynchos.ASM874695v1.112,1212083632,0,16608315,16608316,1236307206,500,4803,4697,71,4732,0.5
9,Anas_platyrhynchos.ASM874695v1.112,1212089159,0,16625777,16625778,1237550722,500,5063,4937,75,4988,0.5
10,Anas_platyrhynchos.ASM874695v1.112,1212091637,0,16625777,16625778,1238836783,500,5309,5191,75,5234,0.5
10,Anas_platyrhynchos.ASM874695v1.112,1212098093,0,16638605,16638606,1240078643,500,5557,5443,78,5479,0.5
11,Anas_platyrhynchos.ASM874695v1.112,1212098193,0,16661648,16661649,1241207194,500,5789,5711,81,5708,0.5
11,Anas_platyrhynchos.ASM874695v1.112,1212102937,0,16669388,16669389,1242534492,500,6057,5943,82,5975,0.5
12,Anas_platyrhynchos.ASM874695v1.112,1212108833,0,16685031,16685032,1243764796,500,6303,6197,85,6218,0.5
12,Anas_platyrhynchos.ASM874695v1.112,1212112920,0,16714073,16714074,1245078643,500,6567,6433,90,6477,0.5
13,Anas_platyrhynchos.ASM874695v1.112,1212118986,0,16731953,16731954,1246330707,500,6805,6695,93,6712,0.5
13,Anas_platyrhynchos.ASM874695v1.112,1212126935,0,16761017,16761018,1247594128,500,7052,6948,98,6954,0.5
14,Anas_platyrhynchos.ASM874695v1.112,1212136891,0,16777303,16777304,1248837214,500,7300,7200,100,7200,0.5
14,Anas_platyrhynchos.ASM874695v1.112,1212140144,0,16822601,16822602,1250022494,500,7543,7457,108,7435,0.5
15,Anas_platyrhynchos.ASM874695v1.112,1212148093,0,16829178,16829179,1251199632,500,7784,7716,110,7674,0.5
15,Anas_platyrhynchos.ASM874695v1.112,1212150884,0,16864270,16864271,1252494405,500,8039,7961,116,7923,0.5
16,Anas_platyrhynchos.ASM874695v1.112,1212157703,0,16869732,16869733,1253774313,500,8298,8202,117,8181,0.5
16,Anas_platyrhynchos.ASM874695v1.112,1212163229,0,16890645,16890646,1254970167,500,8533,8467,121,8412,0.5
17,Anas_platyrhynchos.ASM874695v1.112,1212166225,0,16916714,16916715,1256154616,500,8764,8736,126,8638,0.5
17,Anas_platyrhynchos.ASM874695v1.112,1212170051,0,16938940,16938941,1257400474,500,9010,8990,129,8881,0.5
18,Anas_platyrhynchos.ASM874695v1.112,1212180051,0,16958181,16958182,1258766163,500,9271,9229,132,9139,0.5
18,Anas_platyrhynchos.ASM874695v1.112,1212185306,0,16971988,16971989,1260001259,500,9510,9490,136,9374,0.5
19,Anas_platyrhynchos.ASM874695v1.112,1212189428,0,17019883,17019884,1261257600,500,9758,9742,144,9614,0.5
19,Anas_platyrhynchos.ASM874695v1.112,1212196003,0,17035516,17035517,1262415862,500,10000,10000,149,9851,0.5
20,Anas_platyrhynchos.ASM874695v1.112,1212199047,0,17057248,17057249,1263601238,500,10239,10261,153,10086,0.5
20,Anas_platyrhynchos.ASM874695v1.112,1212209047,0,17071831,17071832,1264868197,500,10482,10518,156,10326,0.5
21,Anas_platyrhynchos.ASM874695v1.112,1212213243,0,17082200,17082201,1266139736,500,10726,10774,158,10568,0.5
21,Anas_platyrhynchos.ASM874695v1.112,1212214654,0,17106758,17106759,1267499439,500,10995,11005,163,10832,0.5
22,Anas_platyrhynchos.ASM874695v1.112,1212218540,0,17136782,17136783,1268742964,500,11236,11264,169,11067,0.5
22,Anas_platyrhynchos.ASM874695v1.112,1212223290,0,17141448,17141449,1269900684,500,11462,11538,170,11292,0.5
23,Anas_platyrhynchos.ASM874695v1.112,1212230984,0,17156252,17156253,1271024768,500,11686,11814,173,11513,0.5
23,Anas_platyrhynchos.ASM874695v1.112,1212234929,0,17178989,17178990,1272338622,500,11950,12050,178,11772,0.5
24,Anas_platyrhynchos.ASM874695v1.112,1212240923,0,17185016,17185017,1273546610,500,12194,12306,179,12015,0.5
24,Anas_platyrhynchos.ASM874695v1.112,1212246100,0,17194380,17194381,1274750916,500,12436,12564,181,12255,0.5
25,Anas_platyrhynchos.ASM874695v1.112,1212248615,0,17217909,17217910,1276054241,500,12700,12800,185,12515,0.5
25,Anas_platyrhynchos.ASM874695v1.112,1212253488,0,17242733,17242734,1277288297,500,12947,13053,190,12757,0.5
26,Anas_platyrhynchos.ASM874695v1.112,1212258743,0,17263200,17263201,1278574717,500,13194,13306,194,13000,0.5
