Round,Species,Genome Size,Exon Start Range,Exon End Range,Noncoding Start Range,Noncoding End Range,Active TE,TE Mobilized,TE Static,TE in Exons,TE in Noncoding,TE Mobilize Probability
1,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
2,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
3,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
4,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
5,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
6,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
7,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
8,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
9,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
10,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
11,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
12,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
13,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
14,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
15,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
16,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
17,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
18,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
19,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
20,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
21,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
22,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
23,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
24,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
25,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
26,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
27,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
28,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
29,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
30,Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,500,20,480,10,10,0.5
