Species,Genome_size,#_of_gene,min_gene_length,max_gene_length,mean_gene_length,min_retroTE_length,max_retroTE_length,mean_retroTE_length,retroTE_proportion,min_retroTE_length,max_retroTE_length,mean_retroTE_length,dnaTE_proportion
Escherichia coli,4600000,,,,,,,,,,,,
Caenorhabditis elegans,100000000,,,,,,,,,,,,
Drosophila melanogaster,180000000,14000,66,14544,462,2869,215,7490,0.18,2180,52,5453,0.02
Xenopus tropicalis,1200000000,,,,,,,,,,,,
Homo sapiens,3200000000,,,,,,,,,,,,
Desmognathus fuscus,16000000000,,,,,,,,,,,,
Pleurodeles waltl,22000000000,,,,,,,,,,,,
Ambystoma mexicanus,32000000000,,,,,,,,,,,,
Necturus punctulatus,120000000000,,,,,,,,,,,,
Paris japonica,150000000000,,,,,,,,,,,,
