Round,Genome Size,Exon Length,Non-Coding Length,Active TEs,TE Mobilize Prob,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding
0,1184825824,533360,1184292464,500,0.5,250,250,0,250
1,1179037039,533355,1178503684,500,0.5,500,0,0,500
2,1173273072,533350,1172739722,500,0.5,750,0,0,750
3,1167481772,533345,1166948427,500,0.5,1000,0,0,1000
4,1161680166,533340,1161146826,500,0.5,1250,0,0,1250
5,1155884852,533335,1155351517,500,0.5,1500,0,0,1500
6,1150182405,533330,1149649075,500,0.5,1750,0,0,1750
7,1144568145,533325,1144034820,500,0.5,2000,0,0,2000
8,1138944975,533320,1138411655,500,0.5,2250,0,0,2250
9,1133369471,533315,1132836156,500,0.5,2500,0,0,2500
10,1127742897,539067,1127203830,500,0.5,2750,0,1,2749
11,1122166988,539062,1121627926,500,0.5,3000,0,1,2999
12,1116579199,543925,1116035274,500,0.5,3250,0,2,3248
13,1111159618,543920,1110615698,500,0.5,3500,0,2,3498
14,1105731995,543915,1105188080,500,0.5,3750,0,2,3748
15,1100403583,543910,1099859673,500,0.5,4000,0,2,3998
16,1095074757,543905,1094530852,500,0.5,4250,0,2,4248
17,1089743402,543900,1089199502,500,0.5,4500,0,2,4498
18,1084539858,543895,1083995963,500,0.5,4750,0,2,4748
19,1079298788,543890,1078754898,500,0.5,5000,0,2,4998
20,1074117177,543885,1073573292,500,0.5,5250,0,2,5248
21,1068951937,543880,1068408057,500,0.5,5500,0,2,5498
22,1063780519,543875,1063236644,500,0.5,5750,0,2,5748
23,1058705604,543870,1058161734,500,0.5,6000,0,2,5998
24,1053616010,543865,1053072145,500,0.5,6250,0,2,6248
25,1048534454,543860,1047990594,500,0.5,6500,0,2,6498
26,1043419253,543855,1042875398,500,0.5,6750,0,2,6748
27,1038328817,543850,1037784967,500,0.5,7000,0,2,6998
28,1033371824,543845,1032827979,500,0.5,7250,0,2,7248
29,1028384984,543840,1027841144,500,0.5,7500,0,2,7498
