Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Ailuropoda_melanoleuca.ASM200744v2.112,2444060653,0,21388486,21388487,2445197174,500,240,260,2,238,0.5
0,Ailuropoda_melanoleuca.ASM200744v2.112,2444064814,0,21392855,21392856,2446319376,500,473,527,3,470,0.5
1,Ailuropoda_melanoleuca.ASM200744v2.112,2444068792,0,21407914,21407915,2447487946,500,722,778,6,716,0.5
1,Ailuropoda_melanoleuca.ASM200744v2.112,2444075998,0,21407914,21407915,2448631948,500,964,1036,6,958,0.5
2,Ailuropoda_melanoleuca.ASM200744v2.112,2444080246,0,21412136,21412137,2449958475,500,1224,1276,7,1217,0.5
2,Ailuropoda_melanoleuca.ASM200744v2.112,2444083894,0,21424325,21424326,2451155725,500,1468,1532,9,1459,0.5
3,Ailuropoda_melanoleuca.ASM200744v2.112,2444088059,0,21440301,21440302,2452347966,500,1712,1788,12,1700,0.5
3,Ailuropoda_melanoleuca.ASM200744v2.112,2444090975,0,21457071,21457072,2453573544,500,1959,2041,15,1944,0.5
4,Ailuropoda_melanoleuca.ASM200744v2.112,2444096927,0,21470799,21470800,2454744936,500,2195,2305,18,2177,0.5
4,Ailuropoda_melanoleuca.ASM200744v2.112,2444100791,0,21481704,21481705,2455931948,500,2428,2572,20,2408,0.5
5,Ailuropoda_melanoleuca.ASM200744v2.112,2444106107,0,21493754,21493755,2457203555,500,2689,2811,23,2666,0.5
5,Ailuropoda_melanoleuca.ASM200744v2.112,2444109722,0,21493754,21493755,2458459816,500,2937,3063,23,2914,0.5
6,Ailuropoda_melanoleuca.ASM200744v2.112,2444119379,0,21510665,21510666,2459706391,500,3196,3304,27,3169,0.5
6,Ailuropoda_melanoleuca.ASM200744v2.112,2444122887,0,21521466,21521467,2460976651,500,3449,3551,30,3419,0.5
7,Ailuropoda_melanoleuca.ASM200744v2.112,2444125100,0,21530350,21530351,2462298990,500,3710,3790,31,3679,0.5
7,Ailuropoda_melanoleuca.ASM200744v2.112,2444132641,0,21541361,21541362,2463439968,500,3951,4049,34,3917,0.5
8,Ailuropoda_melanoleuca.ASM200744v2.112,2444139293,0,21559413,21559414,2464702769,500,4202,4298,37,4165,0.5
8,Ailuropoda_melanoleuca.ASM200744v2.112,2444144332,0,21571146,21571147,2465918726,500,4456,4544,40,4416,0.5
9,Ailuropoda_melanoleuca.ASM200744v2.112,2444151053,0,21586084,21586085,2467203445,500,4715,4785,42,4673,0.5
9,Ailuropoda_melanoleuca.ASM200744v2.112,2444154681,0,21595753,21595754,2468518166,500,4978,5022,44,4934,0.5
10,Ailuropoda_melanoleuca.ASM200744v2.112,2444158299,0,21595753,21595754,2469713059,500,5223,5277,44,5179,0.5
10,Ailuropoda_melanoleuca.ASM200744v2.112,2444165038,0,21608627,21608628,2471119507,500,5489,5511,47,5442,0.5
11,Ailuropoda_melanoleuca.ASM200744v2.112,2444172044,0,21625419,21625420,2472355023,500,5741,5759,50,5691,0.5
11,Ailuropoda_melanoleuca.ASM200744v2.112,2444175050,0,21632054,21632055,2473514463,500,5977,6023,52,5925,0.5
12,Ailuropoda_melanoleuca.ASM200744v2.112,2444182437,0,21644352,21644353,2474679692,500,6216,6284,55,6161,0.5
12,Ailuropoda_melanoleuca.ASM200744v2.112,2444186422,0,21662974,21662975,2475898452,500,6467,6533,59,6408,0.5
