Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Amazona_collaria.ASM394721v1.112,1258720284,0,10316185,10316186,1283941841,10000,5044,4956,40,5004,0.5
0,Amazona_collaria.ASM394721v1.112,1258725642,0,10481867,10481868,1308866032,10000,10058,9942,71,9987,0.5
1,Amazona_collaria.ASM394721v1.112,1258732808,0,10691156,10691157,1333654856,10000,15045,14955,114,14931,0.5
1,Amazona_collaria.ASM394721v1.112,1258739494,0,10872269,10872270,1358157691,10000,19944,20056,150,19794,0.5
2,Amazona_collaria.ASM394721v1.112,1258743493,0,11139135,11139136,1383126985,10000,24952,25048,199,24753,0.5
2,Amazona_collaria.ASM394721v1.112,1258746758,0,11428485,11428486,1407708528,10000,29871,30129,254,29617,0.5
3,Amazona_collaria.ASM394721v1.112,1258750362,0,11656038,11656039,1432447435,10000,34842,35158,299,34543,0.5
3,Amazona_collaria.ASM394721v1.112,1258756897,0,11898901,11898902,1457340199,10000,39812,40188,349,39463,0.5
4,Amazona_collaria.ASM394721v1.112,1258758625,0,12080354,12080355,1482456416,10000,44856,45144,388,44468,0.5
4,Amazona_collaria.ASM394721v1.112,1258768625,0,12351159,12351160,1507387791,10000,49849,50151,442,49407,0.5
5,Amazona_collaria.ASM394721v1.112,1258777837,0,12598484,12598485,1532484534,10000,54877,55123,493,54384,0.5
5,Amazona_collaria.ASM394721v1.112,1258780986,0,12854697,12854698,1556913167,10000,59783,60217,545,59238,0.5
6,Amazona_collaria.ASM394721v1.112,1258784562,0,13101822,13101823,1581810353,10000,64770,65230,594,64176,0.5
6,Amazona_collaria.ASM394721v1.112,1258789379,0,13343198,13343199,1606754041,10000,69777,70223,644,69133,0.5
7,Amazona_collaria.ASM394721v1.112,1258797733,0,13593669,13593670,1631864333,10000,74746,75254,696,74050,0.5
7,Amazona_collaria.ASM394721v1.112,1258806420,0,13933181,13933182,1657387807,10000,79800,80200,764,79036,0.5
8,Amazona_collaria.ASM394721v1.112,1258810802,0,14191367,14191368,1681998432,10000,84721,85279,817,83904,0.5
