Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Buteo_japonicus.ButJap1.0.112,1259715124,0,7320766,7320767,1260911158,500,243,257,1,242,0.5
0,Buteo_japonicus.ButJap1.0.112,1259718593,0,7332774,7332775,1262084204,500,488,512,3,485,0.5
1,Buteo_japonicus.ButJap1.0.112,1259721759,0,7332774,7332775,1263248403,500,724,776,3,721,0.5
1,Buteo_japonicus.ButJap1.0.112,1259723730,0,7348071,7348072,1264470284,500,985,1015,6,979,0.5
2,Buteo_japonicus.ButJap1.0.112,1259726303,0,7354046,7354047,1265765156,500,1243,1257,8,1235,0.5
2,Buteo_japonicus.ButJap1.0.112,1259733055,0,7366520,7366521,1266955489,500,1487,1513,10,1477,0.5
3,Buteo_japonicus.ButJap1.0.112,1259738009,0,7370892,7370893,1268113662,500,1720,1780,11,1709,0.5
3,Buteo_japonicus.ButJap1.0.112,1259741022,0,7376122,7376123,1269349464,500,1962,2038,12,1950,0.5
4,Buteo_japonicus.ButJap1.0.112,1259751022,0,7376122,7376123,1270646665,500,2222,2278,12,2210,0.5
4,Buteo_japonicus.ButJap1.0.112,1259755917,0,7393565,7393566,1271826515,500,2458,2542,15,2443,0.5
5,Buteo_japonicus.ButJap1.0.112,1259760873,0,7398878,7398879,1273031458,500,2698,2802,16,2682,0.5
5,Buteo_japonicus.ButJap1.0.112,1259764970,0,7413439,7413440,1274296096,500,2963,3037,19,2944,0.5
6,Buteo_japonicus.ButJap1.0.112,1259771722,0,7434668,7434669,1275575278,500,3225,3275,23,3202,0.5
6,Buteo_japonicus.ButJap1.0.112,1259776768,0,7444058,7444059,1276731339,500,3460,3540,24,3436,0.5
7,Buteo_japonicus.ButJap1.0.112,1259777938,0,7444058,7444059,1277996361,500,3706,3794,24,3682,0.5
7,Buteo_japonicus.ButJap1.0.112,1259782416,0,7444058,7444059,1279247676,500,3957,4043,24,3933,0.5
8,Buteo_japonicus.ButJap1.0.112,1259789455,0,7454058,7454059,1280517557,500,4212,4288,25,4187,0.5
8,Buteo_japonicus.ButJap1.0.112,1259792178,0,7469697,7469698,1281796931,500,4459,4541,28,4431,0.5
9,Buteo_japonicus.ButJap1.0.112,1259795512,0,7469697,7469698,1283035555,500,4711,4789,28,4683,0.5
9,Buteo_japonicus.ButJap1.0.112,1259801692,0,7478828,7478829,1284330543,500,4977,5023,30,4947,0.5
10,Buteo_japonicus.ButJap1.0.112,1259805217,0,7492845,7492846,1285523618,500,5213,5287,32,5181,0.5
10,Buteo_japonicus.ButJap1.0.112,1259815217,0,7498868,7498869,1286817179,500,5480,5520,33,5447,0.5
