Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Gouania_willdenowi.fGouWil2.1.112,937150793,0,20654688,20654689,938394345,500,261,239,9,252,0.5
0,Gouania_willdenowi.fGouWil2.1.112,937152466,0,20687723,20687724,939717331,500,517,483,16,501,0.5
1,Gouania_willdenowi.fGouWil2.1.112,937156109,0,20716359,20716360,941067613,500,783,717,23,760,0.5
1,Gouania_willdenowi.fGouWil2.1.112,937160774,0,20736762,20736763,942369830,500,1038,962,26,1012,0.5
2,Gouania_willdenowi.fGouWil2.1.112,937164352,0,20779404,20779405,943726977,500,1304,1196,33,1271,0.5
2,Gouania_willdenowi.fGouWil2.1.112,937170720,0,20843632,20843633,944947944,500,1554,1446,44,1510,0.5
3,Gouania_willdenowi.fGouWil2.1.112,937176730,0,20871353,20871354,946055508,500,1786,1714,49,1737,0.5
3,Gouania_willdenowi.fGouWil2.1.112,937181748,0,20958288,20958289,947347591,500,2052,1948,63,1989,0.5
4,Gouania_willdenowi.fGouWil2.1.112,937186680,0,20979848,20979849,948538473,500,2291,2209,67,2224,0.5
4,Gouania_willdenowi.fGouWil2.1.112,937195944,0,21020355,21020356,949774898,500,2542,2458,74,2468,0.5
5,Gouania_willdenowi.fGouWil2.1.112,937199063,0,21045520,21045521,951030088,500,2788,2712,79,2709,0.5
5,Gouania_willdenowi.fGouWil2.1.112,937200672,0,21084294,21084295,952261559,500,3035,2965,86,2949,0.5
6,Gouania_willdenowi.fGouWil2.1.112,937203879,0,21131520,21131521,953499063,500,3278,3222,96,3182,0.5
6,Gouania_willdenowi.fGouWil2.1.112,937206724,0,21153557,21153558,954659297,500,3511,3489,101,3410,0.5
7,Gouania_willdenowi.fGouWil2.1.112,937214073,0,21167769,21167770,955842544,500,3755,3745,104,3651,0.5
7,Gouania_willdenowi.fGouWil2.1.112,937215105,0,21194740,21194741,957133817,500,4014,3986,109,3905,0.5
8,Gouania_willdenowi.fGouWil2.1.112,937217073,0,21228937,21228938,958435533,500,4272,4228,116,4156,0.5
8,Gouania_willdenowi.fGouWil2.1.112,937222608,0,21275737,21275738,959766656,500,4525,4475,124,4401,0.5
9,Gouania_willdenowi.fGouWil2.1.112,937229964,0,21311111,21311112,960969157,500,4765,4735,130,4635,0.5
9,Gouania_willdenowi.fGouWil2.1.112,937233214,0,21350858,21350859,962228781,500,5019,4981,139,4880,0.5
10,Gouania_willdenowi.fGouWil2.1.112,937235458,0,21368485,21368486,963411868,500,5257,5243,144,5113,0.5
10,Gouania_willdenowi.fGouWil2.1.112,937241488,0,21416083,21416084,964678055,500,5516,5484,153,5363,0.5
11,Gouania_willdenowi.fGouWil2.1.112,937245553,0,21438337,21438338,965965393,500,5775,5725,158,5617,0.5
11,Gouania_willdenowi.fGouWil2.1.112,937248784,0,21468140,21468141,967139052,500,6014,5986,163,5851,0.5
12,Gouania_willdenowi.fGouWil2.1.112,937253689,0,21494440,21494441,968336348,500,6249,6251,168,6081,0.5
12,Gouania_willdenowi.fGouWil2.1.112,937260241,0,21504811,21504812,969541952,500,6498,6502,171,6327,0.5
13,Gouania_willdenowi.fGouWil2.1.112,937264451,0,21545866,21545867,970819643,500,6749,6751,180,6569,0.5
13,Gouania_willdenowi.fGouWil2.1.112,937272233,0,21600004,21600005,972066492,500,7012,6988,189,6823,0.5
14,Gouania_willdenowi.fGouWil2.1.112,937278243,0,21622475,21622476,973188095,500,7243,7257,194,7049,0.5
14,Gouania_willdenowi.fGouWil2.1.112,937286139,0,21646701,21646702,974458599,500,7491,7509,198,7293,0.5
15,Gouania_willdenowi.fGouWil2.1.112,937288683,0,21681955,21681956,975713555,500,7747,7753,203,7544,0.5
15,Gouania_willdenowi.fGouWil2.1.112,937296394,0,21722207,21722208,977018041,500,8008,7992,209,7799,0.5
16,Gouania_willdenowi.fGouWil2.1.112,937300701,0,21776841,21776842,978321967,500,8273,8227,220,8053,0.5
16,Gouania_willdenowi.fGouWil2.1.112,937306068,0,21808614,21808615,979589933,500,8530,8470,228,8302,0.5
17,Gouania_willdenowi.fGouWil2.1.112,937313387,0,21828652,21828653,980763999,500,8757,8743,233,8524,0.5
17,Gouania_willdenowi.fGouWil2.1.112,937321739,0,21861263,21861264,981982182,500,9004,8996,240,8764,0.5
18,Gouania_willdenowi.fGouWil2.1.112,937329962,0,21880105,21880106,983301309,500,9256,9244,244,9012,0.5
18,Gouania_willdenowi.fGouWil2.1.112,937333563,0,21880105,21880106,984571635,500,9510,9490,244,9266,0.5
19,Gouania_willdenowi.fGouWil2.1.112,937339645,0,21912114,21912115,985807126,500,9760,9740,250,9510,0.5
19,Gouania_willdenowi.fGouWil2.1.112,937342560,0,21925091,21925092,986931934,500,9994,10006,254,9740,0.5
20,Gouania_willdenowi.fGouWil2.1.112,937349919,0,21970882,21970883,988200510,500,10257,10243,262,9995,0.5
20,Gouania_willdenowi.fGouWil2.1.112,937352872,0,21983630,21983631,989443446,500,10498,10502,265,10233,0.5
21,Gouania_willdenowi.fGouWil2.1.112,937358301,0,22039074,22039075,990731798,500,10756,10744,273,10483,0.5
21,Gouania_willdenowi.fGouWil2.1.112,937364097,0,22064613,22064614,991999868,500,11015,10985,278,10737,0.5
