Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Sparus_aurata.fSpaAur1.1.112,833578411,0,22013000,22013001,834908367,500,258,242,5,253,0.5
0,Sparus_aurata.fSpaAur1.1.112,833581607,0,22063195,22063196,836123078,500,500,500,14,486,0.5
1,Sparus_aurata.fSpaAur1.1.112,833586458,0,22077527,22077528,837400310,500,757,743,18,739,0.5
1,Sparus_aurata.fSpaAur1.1.112,833593970,0,22095382,22095383,838602460,500,1000,1000,22,978,0.5
2,Sparus_aurata.fSpaAur1.1.112,833598693,0,22134071,22134072,839769830,500,1238,1262,30,1208,0.5
2,Sparus_aurata.fSpaAur1.1.112,833603123,0,22163693,22163694,841042764,500,1496,1504,36,1460,0.5
3,Sparus_aurata.fSpaAur1.1.112,833609154,0,22199408,22199409,842346295,500,1753,1747,43,1710,0.5
3,Sparus_aurata.fSpaAur1.1.112,833613238,0,22238473,22238474,843511065,500,1987,2013,50,1937,0.5
4,Sparus_aurata.fSpaAur1.1.112,833619485,0,22276672,22276673,844723759,500,2228,2272,58,2170,0.5
4,Sparus_aurata.fSpaAur1.1.112,833625615,0,22287293,22287294,845941950,500,2470,2530,60,2410,0.5
5,Sparus_aurata.fSpaAur1.1.112,833632761,0,22320953,22320954,847087395,500,2700,2800,66,2634,0.5
5,Sparus_aurata.fSpaAur1.1.112,833638572,0,22364144,22364145,848249057,500,2940,3060,73,2867,0.5
6,Sparus_aurata.fSpaAur1.1.112,833645542,0,22378816,22378817,849432403,500,3169,3331,77,3092,0.5
6,Sparus_aurata.fSpaAur1.1.112,833649352,0,22402538,22402539,850627819,500,3413,3587,85,3328,0.5
7,Sparus_aurata.fSpaAur1.1.112,833656710,0,22423115,22423116,851839854,500,3657,3843,89,3568,0.5
7,Sparus_aurata.fSpaAur1.1.112,833660137,0,22459739,22459740,853086292,500,3915,4085,96,3819,0.5
8,Sparus_aurata.fSpaAur1.1.112,833664120,0,22473625,22473626,854375675,500,4165,4335,99,4066,0.5
8,Sparus_aurata.fSpaAur1.1.112,833666845,0,22506010,22506011,855691133,500,4417,4583,106,4311,0.5
9,Sparus_aurata.fSpaAur1.1.112,833673330,0,22562294,22562295,857077576,500,4680,4820,118,4562,0.5
9,Sparus_aurata.fSpaAur1.1.112,833677623,0,22586563,22586564,858249145,500,4916,5084,123,4793,0.5
10,Sparus_aurata.fSpaAur1.1.112,833680841,0,22627591,22627592,859449072,500,5164,5336,130,5034,0.5
10,Sparus_aurata.fSpaAur1.1.112,833686084,0,22670581,22670582,860627018,500,5410,5590,139,5271,0.5
11,Sparus_aurata.fSpaAur1.1.112,833689660,0,22727027,22727028,861906152,500,5664,5836,149,5515,0.5
11,Sparus_aurata.fSpaAur1.1.112,833693800,0,22743081,22743082,863007357,500,5900,6100,152,5748,0.5
12,Sparus_aurata.fSpaAur1.1.112,833697760,0,22789895,22789896,864273008,500,6156,6344,159,5997,0.5
12,Sparus_aurata.fSpaAur1.1.112,833706690,0,22816158,22816159,865501052,500,6417,6583,165,6252,0.5
13,Sparus_aurata.fSpaAur1.1.112,833711279,0,22844706,22844707,866588010,500,6645,6855,171,6474,0.5
13,Sparus_aurata.fSpaAur1.1.112,833715831,0,22872091,22872092,867883472,500,6903,7097,177,6726,0.5
14,Sparus_aurata.fSpaAur1.1.112,833720558,0,22904590,22904591,869134238,500,7147,7353,181,6966,0.5
14,Sparus_aurata.fSpaAur1.1.112,833727079,0,22925596,22925597,870386362,500,7396,7604,185,7211,0.5
15,Sparus_aurata.fSpaAur1.1.112,833728982,0,22965826,22965827,871624937,500,7643,7857,193,7450,0.5
15,Sparus_aurata.fSpaAur1.1.112,833735583,0,22996184,22996185,872883092,500,7891,8109,199,7692,0.5
16,Sparus_aurata.fSpaAur1.1.112,833744342,0,23034936,23034937,874193574,500,8153,8347,208,7945,0.5
16,Sparus_aurata.fSpaAur1.1.112,833746734,0,23063265,23063266,875365466,500,8398,8602,214,8184,0.5
17,Sparus_aurata.fSpaAur1.1.112,833751098,0,23120141,23120142,876483055,500,8621,8879,226,8395,0.5
17,Sparus_aurata.fSpaAur1.1.112,833753484,0,23134698,23134699,877752056,500,8869,9131,229,8640,0.5
18,Sparus_aurata.fSpaAur1.1.112,833758584,0,23169175,23169176,879061052,500,9125,9375,235,8890,0.5
18,Sparus_aurata.fSpaAur1.1.112,833759725,0,23203341,23203342,880381695,500,9381,9619,241,9140,0.5
19,Sparus_aurata.fSpaAur1.1.112,833759869,0,23248786,23248787,881670070,500,9639,9861,252,9387,0.5
19,Sparus_aurata.fSpaAur1.1.112,833769841,0,23293243,23293244,882962782,500,9893,10107,261,9632,0.5
20,Sparus_aurata.fSpaAur1.1.112,833773307,0,23326336,23326337,884109021,500,10121,10379,267,9854,0.5
20,Sparus_aurata.fSpaAur1.1.112,833776880,0,23338191,23338192,885354749,500,10370,10630,270,10100,0.5
21,Sparus_aurata.fSpaAur1.1.112,833784222,0,23382762,23382763,886564217,500,10610,10890,277,10333,0.5
21,Sparus_aurata.fSpaAur1.1.112,833786514,0,23406256,23406257,887840697,500,10851,11149,281,10570,0.5
22,Sparus_aurata.fSpaAur1.1.112,833791576,0,23451329,23451330,889100244,500,11105,11395,289,10816,0.5
22,Sparus_aurata.fSpaAur1.1.112,833798064,0,23494389,23494390,890333179,500,11351,11649,298,11053,0.5
23,Sparus_aurata.fSpaAur1.1.112,833803284,0,23532209,23532210,891473660,500,11583,11917,304,11279,0.5
23,Sparus_aurata.fSpaAur1.1.112,833810221,0,23543465,23543466,892623759,500,11825,12175,309,11516,0.5
24,Sparus_aurata.fSpaAur1.1.112,833812145,0,23565235,23565236,893937471,500,12081,12419,313,11768,0.5
