Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
0,Sus_scrofa_bamei.Bamei_pig_v1.112,2460755741,0,5255132,5255133,2462028199,500,256,244,0,256,0.5
0,Sus_scrofa_bamei.Bamei_pig_v1.112,2460760639,0,5255132,5255133,2463320504,500,518,482,0,518,0.5
1,Sus_scrofa_bamei.Bamei_pig_v1.112,2460768238,0,5257530,5257531,2464562963,500,764,736,1,763,0.5
1,Sus_scrofa_bamei.Bamei_pig_v1.112,2460775907,0,5259919,5259920,2465756207,500,998,1002,2,996,0.5
2,Sus_scrofa_bamei.Bamei_pig_v1.112,2460780243,0,5259919,5259920,2467087903,500,1260,1240,2,1258,0.5
2,Sus_scrofa_bamei.Bamei_pig_v1.112,2460784416,0,5263431,5263432,2468343065,500,1507,1493,3,1504,0.5
3,Sus_scrofa_bamei.Bamei_pig_v1.112,2460784516,0,5263431,5263432,2469520261,500,1735,1765,3,1732,0.5
3,Sus_scrofa_bamei.Bamei_pig_v1.112,2460791280,0,5263431,5263432,2470765495,500,1989,2011,3,1986,0.5
4,Sus_scrofa_bamei.Bamei_pig_v1.112,2460798609,0,5266917,5266918,2472119912,500,2257,2243,4,2253,0.5
4,Sus_scrofa_bamei.Bamei_pig_v1.112,2460804376,0,5266917,5266918,2473428981,500,2518,2482,4,2514,0.5
5,Sus_scrofa_bamei.Bamei_pig_v1.112,2460811161,0,5266917,5266918,2474622083,500,2762,2738,4,2758,0.5
5,Sus_scrofa_bamei.Bamei_pig_v1.112,2460811972,0,5266917,5266918,2475938364,500,3026,2974,4,3022,0.5
6,Sus_scrofa_bamei.Bamei_pig_v1.112,2460820929,0,5269664,5269665,2477119486,500,3253,3247,5,3248,0.5
6,Sus_scrofa_bamei.Bamei_pig_v1.112,2460830421,0,5269664,5269665,2478434627,500,3504,3496,5,3499,0.5
7,Sus_scrofa_bamei.Bamei_pig_v1.112,2460836012,0,5269664,5269665,2479797817,500,3771,3729,5,3766,0.5
7,Sus_scrofa_bamei.Bamei_pig_v1.112,2460841243,0,5269664,5269665,2481070244,500,4021,3979,5,4016,0.5
8,Sus_scrofa_bamei.Bamei_pig_v1.112,2460845118,0,5272126,5272127,2482444586,500,4286,4214,6,4280,0.5
8,Sus_scrofa_bamei.Bamei_pig_v1.112,2460849299,0,5273819,5273820,2483604984,500,4516,4484,7,4509,0.5
9,Sus_scrofa_bamei.Bamei_pig_v1.112,2460857630,0,5273819,5273820,2484722589,500,4750,4750,7,4743,0.5
9,Sus_scrofa_bamei.Bamei_pig_v1.112,2460861551,0,5278785,5278786,2485996327,500,5003,4997,8,4995,0.5
10,Sus_scrofa_bamei.Bamei_pig_v1.112,2460864123,0,5278785,5278786,2487309232,500,5271,5229,8,5263,0.5
10,Sus_scrofa_bamei.Bamei_pig_v1.112,2460868219,0,5278785,5278786,2488506450,500,5506,5494,8,5498,0.5
11,Sus_scrofa_bamei.Bamei_pig_v1.112,2460874873,0,5278785,5278786,2489636387,500,5729,5771,8,5721,0.5
11,Sus_scrofa_bamei.Bamei_pig_v1.112,2460882264,0,5278785,5278786,2490803024,500,5964,6036,8,5956,0.5
12,Sus_scrofa_bamei.Bamei_pig_v1.112,2460887018,0,5282690,5282691,2492169236,500,6222,6278,9,6213,0.5
12,Sus_scrofa_bamei.Bamei_pig_v1.112,2460895897,0,5282690,5282691,2493504856,500,6478,6522,9,6469,0.5
13,Sus_scrofa_bamei.Bamei_pig_v1.112,2460898526,0,5282690,5282691,2494744813,500,6723,6777,9,6714,0.5
13,Sus_scrofa_bamei.Bamei_pig_v1.112,2460899617,0,5282690,5282691,2496032388,500,6972,7028,9,6963,0.5
14,Sus_scrofa_bamei.Bamei_pig_v1.112,2460907791,0,5282690,5282691,2497201257,500,7207,7293,9,7198,0.5
14,Sus_scrofa_bamei.Bamei_pig_v1.112,2460915182,0,5282690,5282691,2498399733,500,7448,7552,9,7439,0.5
15,Sus_scrofa_bamei.Bamei_pig_v1.112,2460916563,0,5284952,5284953,2499742511,500,7712,7788,10,7702,0.5
15,Sus_scrofa_bamei.Bamei_pig_v1.112,2460921317,0,5288037,5288038,2501024187,500,7974,8026,11,7963,0.5
16,Sus_scrofa_bamei.Bamei_pig_v1.112,2460926091,0,5288037,5288038,2502419392,500,8247,8253,11,8236,0.5
16,Sus_scrofa_bamei.Bamei_pig_v1.112,2460926191,0,5290274,5290275,2503638689,500,8495,8505,12,8483,0.5
17,Sus_scrofa_bamei.Bamei_pig_v1.112,2460929990,0,5295505,5295506,2504880262,500,8737,8763,13,8724,0.5
17,Sus_scrofa_bamei.Bamei_pig_v1.112,2460939817,0,5295505,5295506,2506155230,500,8988,9012,13,8975,0.5
18,Sus_scrofa_bamei.Bamei_pig_v1.112,2460944626,0,5295505,5295506,2507285969,500,9213,9287,13,9200,0.5
18,Sus_scrofa_bamei.Bamei_pig_v1.112,2460950145,0,5303019,5303020,2508635886,500,9472,9528,14,9458,0.5
19,Sus_scrofa_bamei.Bamei_pig_v1.112,2460953850,0,5303019,5303020,2509943585,500,9731,9769,14,9717,0.5
19,Sus_scrofa_bamei.Bamei_pig_v1.112,2460960038,0,5307229,5307230,2511227706,500,9986,10014,15,9971,0.5
20,Sus_scrofa_bamei.Bamei_pig_v1.112,2460967342,0,5307229,5307230,2512463856,500,10233,10267,15,10218,0.5
20,Sus_scrofa_bamei.Bamei_pig_v1.112,2460972098,0,5307229,5307230,2513748482,500,10489,10511,15,10474,0.5
21,Sus_scrofa_bamei.Bamei_pig_v1.112,2460980721,0,5307229,5307230,2514976083,500,10741,10759,15,10726,0.5
21,Sus_scrofa_bamei.Bamei_pig_v1.112,2460989465,0,5307229,5307230,2516214339,500,10981,11019,15,10966,0.5
22,Sus_scrofa_bamei.Bamei_pig_v1.112,2460993150,0,5312399,5312400,2517511486,500,11225,11275,16,11209,0.5
22,Sus_scrofa_bamei.Bamei_pig_v1.112,2461000870,0,5316290,5316291,2518801266,500,11476,11524,17,11459,0.5
23,Sus_scrofa_bamei.Bamei_pig_v1.112,2461004083,0,5325247,5325248,2520089357,500,11732,11768,18,11714,0.5
23,Sus_scrofa_bamei.Bamei_pig_v1.112,2461010149,0,5325347,5325348,2521322469,500,11978,12022,19,11959,0.5
24,Sus_scrofa_bamei.Bamei_pig_v1.112,2461017247,0,5325347,5325348,2522595110,500,12234,12266,19,12215,0.5
24,Sus_scrofa_bamei.Bamei_pig_v1.112,2461022221,0,5325347,5325348,2523840579,500,12477,12523,19,12458,0.5
25,Sus_scrofa_bamei.Bamei_pig_v1.112,2461027954,0,5327942,5327943,2525110193,500,12726,12774,20,12706,0.5
25,Sus_scrofa_bamei.Bamei_pig_v1.112,2461035258,0,5327942,5327943,2526490165,500,13002,12998,20,12982,0.5
26,Sus_scrofa_bamei.Bamei_pig_v1.112,2461042183,0,5327942,5327943,2527779934,500,13246,13254,20,13226,0.5
26,Sus_scrofa_bamei.Bamei_pig_v1.112,2461045125,0,5339335,5339336,2529176082,500,13513,13487,22,13491,0.5
27,Sus_scrofa_bamei.Bamei_pig_v1.112,2461045225,0,5339335,5339336,2530529462,500,13765,13735,22,13743,0.5
27,Sus_scrofa_bamei.Bamei_pig_v1.112,2461050591,0,5339435,5339436,2531793143,500,14013,13987,23,13990,0.5
28,Sus_scrofa_bamei.Bamei_pig_v1.112,2461055381,0,5339435,5339436,2533103327,500,14266,14234,23,14243,0.5
28,Sus_scrofa_bamei.Bamei_pig_v1.112,2461061021,0,5342070,5342071,2534387124,500,14520,14480,24,14496,0.5
29,Sus_scrofa_bamei.Bamei_pig_v1.112,2461065995,0,5342070,5342071,2535744654,500,14782,14718,24,14758,0.5
29,Sus_scrofa_bamei.Bamei_pig_v1.112,2461069811,0,5342881,5342882,2537023323,500,15029,14971,25,15004,0.5
