Species,Beginning Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs mobilized,TEs static,TEs in Exons,TEs in Non-Coding,Exon New Size,Non-Coding New Size,Total Genome Growth,Simulation Rounds,Total Time
Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190649881,0,533365,533366,1190649881,1000,500719,499281,173,500546,1389016,3717590175,2528329310,1000,1.1882269382476807
Ailuropoda_melanoleuca.ASM200744v2.112,2444060653,0,21379888,21379889,2444060653,1000,499743,500257,4226,495517,42793219,4921825189,2520557755,1000,1.2353391647338867
Amazona_collaria.ASM394721v1.112,1258720284,0,10120975,10120976,1258720284,1000,500020,499980,3934,496086,29908488,3752109966,2523298170,1000,1.1237578392028809
Amphilophus_citrinellus.Midas_v5.112,844902565,0,3510573,3510574,844902565,1000,499943,500057,2114,497829,14262063,3353895122,2523254620,1000,1.1464014053344727
Amphiprion_ocellaris.ASM2253959v1.112,863484803,0,23623298,23623299,863484803,1000,500517,499483,13676,486841,92617221,3297603422,2526735840,1000,1.0014371871948242
Amphiprion_percula.Nemo_v1.112,908939294,0,22414662,22414663,908939294,1000,500385,499615,12227,488158,83936156,3350590900,2525587762,1000,1.1426711082458496
Anabas_testudineus.fAnaTes1.3.112,555641398,0,18933866,18933867,555641398,1000,500174,499826,16836,483338,103891914,2977540445,2525790961,1000,1.1356685161590576
Anas_platyrhynchos.ASM874695v1.112,1211992756,0,16224570,16224571,1211992756,1000,500657,499343,6658,493999,49545468,3689597889,2527150601,1000,1.1504130363464355
Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.112,1136415614,0,17265404,17265405,1136415614,1000,499028,500972,7643,491385,55814663,3599058091,2518457140,1000,1.0265965461730957
Anas_zonorhyncha.ASM222487v1.112,1310797575,0,5238164,5238165,1310797575,1000,500214,499786,2067,498147,15621732,3818031953,2522856110,1000,1.120046615600586
Anolis_carolinensis.AnoCar2.0v2.112,1799143587,0,16304512,16304513,1799143587,1000,499755,500245,4562,495193,39402540,4283879304,2524138257,1000,1.2228562831878662
Anser_brachyrhynchus.ASM259213v1.112,1116992394,0,7806307,7806308,1116992394,1000,500813,499187,3628,497185,26076615,3618901371,2527985592,1000,0.9649584293365479
Anser_cygnoides.GooseV1.0.112,1130276682,0,7335300,7335301,1130276682,1000,499749,500251,3102,496647,22940071,3628436246,2521099635,1000,0.9994547367095947
Aotus_nancymaae.Anan_2.0.112,2861668348,0,10791719,10791720,2861668348,1000,500200,499800,1845,498355,20175511,5367159402,2525666565,1000,1.3553578853607178
Apteryx_haastii.aptHaa1.112,1221441152,0,3542956,3542957,1221441152,1000,499800,500200,1563,498237,11510961,3733516004,2523585813,1000,0.9600090980529785
Apteryx_owenii.aptOwe1.112,1231276503,0,4409932,4409933,1231276503,1000,500380,499620,1748,498632,13221093,3742181603,2524126193,1000,1.0653491020202637
Apteryx_rowi.aptRow1.112,1228902913,0,4649751,4649752,1228902913,1000,499488,500512,1889,497599,14142501,3735408233,2520647821,1000,1.0357387065887451
Astatotilapia_calliptera.fAstCal1.3.112,880428986,0,27120407,27120408,880428986,1000,499953,500047,15525,484428,105612735,3297599820,2522783569,1000,1.089792251586914
Astyanax_mexicanus.Astyanax_mexicanus-2.0.112,1335239194,0,22255158,22255159,1335239194,1000,500070,499930,8235,491835,63830426,3795840505,2524431737,1000,1.0572991371154785
Astyanax_mexicanus_pachon.Astyanax_mexicanus-1.0.2.112,1191242572,0,4930621,4930622,1191242572,1000,500560,499440,2072,498488,15365670,3703683949,2527807047,1000,1.032329797744751
Athene_cunicularia.athCun1.112,1157069330,0,13063671,13063672,1157069330,1000,500922,499078,5800,495122,41903427,3644252688,2529086785,1000,1.081186294555664
Balaenoptera_musculus.mBalMus1.v2.112,2379995981,0,20398733,20398734,2379995981,1000,499820,500180,4321,495499,42270593,4864008750,2526283362,1000,1.1893863677978516
Betta_splendens.fBetSpl5.2.112,441371523,0,17205239,17205240,441371523,1000,500616,499384,19616,481000,116425313,2851397245,2526451035,1000,1.287651538848877
Bison_bison_bison.Bison_UMD1.0.112,2953622319,0,8456392,8456393,2953622319,1000,499700,500300,1349,498351,15281538,5462603768,2524262987,1000,1.1185450553894043
Bos_grunniens.LU_Bosgru_v3.0.112,2832776395,0,22688907,22688908,2832776395,1000,499630,500370,3860,495770,42108487,5313847663,2523179755,1000,0.9917597770690918
Bos_indicus_hybrid.UOA_Brahman_1.112,2680953056,0,30497616,30497617,2680953056,1000,500693,499307,5824,494869,60127289,5146305587,2525479820,1000,1.1250619888305664
Bos_mutus.BosGru_v2.0.112,2645161911,0,3383581,3383582,2645161911,1000,499363,500637,659,498704,6781330,5160137444,2521756863,1000,1.0884730815887451
Bos_taurus.ARS-UCD1.3.112,2711209831,0,36421089,36421090,2711209831,1000,501405,498595,6798,494607,70720202,5168848224,2528358595,1000,1.1521432399749756
Bos_taurus_hybrid.UOA_Angus_1.112,2580764822,0,29134990,29134991,2580764822,1000,500161,499839,5631,494530,57590418,5049557358,2526382954,1000,1.0584986209869385
Bubo_bubo.BubBub1.0.112,1258069325,0,7859242,7859243,1258069325,1000,500806,499194,3264,497542,24391191,3760456119,2526777985,1000,1.066965103149414
Buteo_japonicus.ButJap1.0.112,1259715124,0,7316854,7316855,1259715124,1000,500296,499704,2827,497469,21568058,3763259152,2525112086,1000,1.0886194705963135
Caenorhabditis_elegans.WBcel235.112,100286401,0,11466639,11466640,100286401,1000,499532,500468,59440,440092,311152540,2310924046,2521790185,1000,1.0735585689544678
Cairina_moschata_domestica.CaiMos1.0.112,1109207201,0,15520707,15520708,1109207201,1000,500409,499591,6892,493517,50237973,3582739543,2523770315,1000,1.2767541408538818
Calidris_pugnax.ASM143184v1.112,1229094286,0,10112131,10112132,1229094286,1000,499757,500243,4154,495603,30806401,3721274262,2522986377,1000,1.1170063018798828
