Species_name,Assembly,Genome_size,Num_exons
Accipiter_nisus,Accipiter_nisus_ver1.0.112,1190649881,533365
Ailuropoda_melanoleuca,ASM200744v2.112,2444060653,21379888
Amazona_collaria,ASM394721v1.112,1258720284,10120975
Amphilophus_citrinellus,Midas_v5.112,844902565,3510573
Amphiprion_ocellaris,ASM2253959v1.112,863484803,23623298
Amphiprion_percula,Nemo_v1.112,908939294,22414662
Anabas_testudineus,fAnaTes1.3.112,555641398,18933866
Anas_platyrhynchos,ASM874695v1.112,1211992756,16224570
Anas_platyrhynchos_platyrhynchos,CAU_duck1.0.112,1136415614,17265404
Anas_zonorhyncha,ASM222487v1.112,1310797575,5238164
Anolis_carolinensis,AnoCar2.0v2.112,1799143587,16304512
Anser_brachyrhynchus,ASM259213v1.112,1116992394,7806307
Anser_cygnoides,GooseV1.0.112,1130276682,7335300
Aotus_nancymaae,Anan_2.0.112,2861668348,10791719
Apteryx_haastii,aptHaa1.112,1221441152,3542956
Apteryx_owenii,aptOwe1.112,1231276503,4409932
Apteryx_rowi,aptRow1.112,1228902913,4649751
Astatotilapia_calliptera,fAstCal1.3.112,880428986,27120407
Astyanax_mexicanus,Astyanax_mexicanus-2.0.112,1335239194,22255158
Astyanax_mexicanus_pachon,Astyanax_mexicanus-1.0.2.112,1191242572,4930621
Athene_cunicularia,athCun1.112,1157069330,13063671
Balaenoptera_musculus,mBalMus1.v2.112,2379995981,20398733
Betta_splendens,fBetSpl5.2.112,441371523,17205239
Bison_bison_bison,Bison_UMD1.0.112,2953622319,8456392
Bos_grunniens,LU_Bosgru_v3.0.112,2832776395,22688907
Bos_indicus_hybrid,UOA_Brahman_1.112,2680953056,30497616
Bos_mutus,BosGru_v2.0.112,2645161911,3383581
Bos_taurus,ARS-UCD1.3.112,2711209831,36421089
Bos_taurus_hybrid,UOA_Angus_1.112,2580764822,29134990
Bubo_bubo,BubBub1.0.112,1258069325,7859242
Buteo_japonicus,ButJap1.0.112,1259715124,7316854
Caenorhabditis_elegans,WBcel235.112,100286401,11466639
Cairina_moschata_domestica,CaiMos1.0.112,1109207201,15520707
Calidris_pugnax,ASM143184v1.112,1229094286,10112131
Calidris_pygmaea,ASM369795v1.112,1178350366,5874762
Callithrix_jacchus,mCalJac1.pat.X.112,2829711198,28893707
Callorhinchus_milii,Callorhinchus_milii-6.1.3.112,974498586,7714862
Camarhynchus_parvulus,Camarhynchus_parvulus_V1.1.112,1064016364,15396573
Camelus_dromedarius,CamDro2.112,2154386959,20137145
Canis_lupus_dingo,ASM325472v1.112,2439831507,15918489
Canis_lupus_familiarisbasenji,Basenji_breed-1.1.112,2410429933,20606378
Canis_lupus_familiarisboxer,Dog10K_Boxer_Tasha.112,2312785471,31323569
Canis_lupus_familiarisgreatdane,UMICH_Zoey_3.1.112,2343202000,21104874
Canis_lupus_familiarisgsd,UU_Cfam_GSD_1.0.112,2481983352,32134014
Canis_lupus_familiaris,ROS_Cfam_1.0.112,2396858295,31282366
Capra_hircus,ARS1.112,2922813246,22772805
Capra_hircus_blackbengal,CVASU_BBG_1.0.112,3041623660,31991338
Carassius_auratus,ASM336829v1.112,1820635050,24940422
Carlito_syrichta,Tarsius_syrichta-2.0.1.112,3453864774,1442261
Castor_canadensis,C.can_genome_v1.0.112,2518306565,1756658
Catagonus_wagneri,CatWag_v2_BIUU_UCD.112,2640067814,12681909
Catharus_ustulatus,bCatUst1.pri.112,1131616430,13895375
Cavia_aperea,CavAp1.0.112,2716396567,9147913
Cavia_porcellus,Cavpor3.0.112,2723219641,18251404
Cebus_imitator,Cebus_imitator-1.0.112,2717703182,9033770
Cercocebus_atys,Caty_1.0.112,2848246356,15418010
Cervus_hanglu_yarkandensis,CEY_v1.112,2594114534,22203908
Chelonoidis_abingdonii,ASM359739v1.112,2300739315,3527085
Chelydra_serpentina,Chelydra_serpentina-1.0.112,2401360239,12981809
Chinchilla_lanigera,ChiLan1.0.112,2390868971,18259833
Chlorocebus_sabaeus,ChlSab1.1.112,2789656328,23021948
Choloepus_hoffmanni,choHof1.112,2467493193,274224
Chrysemys_picta_bellii,Chrysemys_picta_bellii-3.0.3.112,2365766571,11384265
Chrysolophus_pictus,Chrysolophus_pictus_GenomeV1.0.112,1023990748,3498065
Ciona_intestinalis,KH.112,115227500,4931359
Ciona_savignyi,CSAV2.0.112,177003750,3084002
Clupea_harengus,Ch_v2.0.2v2.112,786325606,22040662
Colobus_angolensis_palliatus,Cang.pa_1.0.112,2970124662,10330784
Corvus_moneduloides,bCorMon1.pri.112,1112734094,16066683
Cottoperca_gobio,fCotGob3.1.112,609391784,18481889
Coturnix_japonica,Coturnix_japonica_2.0.112,927656957,15921464
Cricetulus_griseus_chok1gshd,CHOK1GS_HDv1.112,2358167390,19400617
Cricetulus_griseus_crigri,CriGri_1.0.112,2399786748,3593610
Cricetulus_griseus_picr,CriGri-PICRH-1.0.112,2366634374,38560055
Crocodylus_porosus,CroPor_comp1.112,2049536252,15481742
Cyanistes_caeruleus,cyaCae2.112,1186980630,12750904
Cyclopterus_lumpus,fCycLum1.pri.112,572885595,15615306
Cynoglossus_semilaevis,Cse_v1.0.112,470199494,17197487
Cyprinodon_variegatus,C_variegatus-1.0.112,1035184475,2605134
Cyprinus_carpio_carpio,Cypcar_WagV4.0.112,1460365368,32156943
Cyprinus_carpio_germanmirror,German_Mirror_carp_1.0.112,1414711435,8948206
Cyprinus_carpio_hebaored,Hebao_red_carp_1.0.112,1457977772,4234450
Cyprinus_carpio_huanghe,Hunaghe_carp_2.0.112,1423633724,6199696
Danio_rerio,GRCz11.112,1373471384,28218515
Dasypus_novemcinctus,Dasnov3.0.112,3631522711,4493570
Delphinapterus_leucas,ASM228892v3.112,2362774659,16371359
Denticeps_clupeoides,fDenClu1.2.112,567401054,18576149
Dicentrarchus_labrax,dlabrax2021.112,695892153,24495591
Dipodomys_ordii,Dord_2.0.112,2236368823,10693988
Dromaius_novaehollandiae,droNov1.112,1192237364,5412342
Drosophila_melanogaster,BDGP6.46.112,143726002,16565952
Echeneis_naucrates,fEcheNa1.1.112,544212633,16030977
Echinops_telfairi,TENREC.112,3833584941,581160
Electrophorus_electricus,fEleEle1.pri.112,589358956,16540538
Eptatretus_burgeri,Eburgeri_3.2.112,2608383542,5231846
Equus_asinus,ASM1607732v2.112,2431907375,34471955
Equus_caballus,EquCab3.0.112,2506966135,30851080
Erinaceus_europaeus,HEDGEHOG.112,3377541562,497415
Erpetoichthys_calabaricus,fErpCal1.1.112,3811022027,21967028
Erythrura_gouldiae,GouldianFinch.112,1070785140,10586116
Esox_lucius,fEsoLuc1.pri.112,918748614,26914173
Falco_tinnunculus,FalTin1.0.112,1179901403,12690911
Felis_catus,Felis_catus_9.0.112,2521863845,25571035
Ficedula_albicollis,FicAlb1.5.112,1118343587,16748087
Fukomys_damarensis,DMR_v1.0.112,2333908851,9013506
Fundulus_heteroclitus,Fundulus_heteroclitus-3.0.2.112,1021898560,3886531
Gadus_morhua,gadMor3.0.112,669949713,19725210
Gadus_morhua_gca010882105v1,gadMor_Celtic.112,684268512,22407982
Gallus_gallus,bGalGal1.mat.broiler.GRCg7b.112,1053332251,37243080
Gallus_gallus_gca000002315v5,GRCg6a.112,1065365425,37743597
Gallus_gallus_gca016700215v2,bGalGal1.pat.whiteleghornlayer.GRCg7w.112,1048336660,37597348
Gambusia_affinis,ASM309773v1.112,598663367,11180242
Gasterosteus_aculeatus,GAculeatus_UGA_version5.112,471877818,21452283
Gasterosteus_aculeatus_gca006229185v1,BOT.112,427295814,1572524
Gasterosteus_aculeatus_gca006232265v1,BAM.112,445644378,2363694
Gasterosteus_aculeatus_gca006232285v1,SYL.112,431811987,1923620
Geospiza_fortis,GeoFor_1.0.112,1065292181,7340008
Gopherus_agassizii,ASM289641v1.112,2184966080,902307
Gopherus_evgoodei,rGopEvg1_v1.p.112,2298547364,18432196
Gorilla_gorilla,gorGor4.112,3063362794,25142797
Gouania_willdenowi,fGouWil2.1.112,937150793,20609848
Heterocephalus_glaber_female,Naked_mole-rat_maternal.112,2500150894,34336134
Heterocephalus_glaber_male,Naked_mole-rat_paternal.112,2499457497,33968686
Hippocampus_comes,H_comes_QL1_v1.112,493775940,5027494
Homo_sapiens,GRCh38.112,3099750718,64914352
Hucho_hucho,ASM331708v1.112,2487549814,2259268
Ictalurus_punctatus,ASM400665v3.112,1036985268,23898737
Ictidomys_tridecemlineatus,SpeTri2.0.112,2478410228,12599212
Jaculus_jaculus,JacJac1.0.112,2835250225,11602455
Junco_hyemalis,ASM382977v1.112,958315288,14791589
Kryptolebias_marmoratus,ASM164957v1.112,680366784,6713077
Labrus_bergylta,BallGen_V1.112,805480521,3354049
Larimichthys_crocea,L_crocea_2.0.112,657939657,20039556
Lates_calcarifer,ASB_HGAPassembly_v1.112,668464831,6757295
Laticauda_laticaudata,latLat_1.0.112,1558706106,440080
Latimeria_chalumnae,LatCha1.112,2860591921,3727104
Lepidothrix_coronata,Lepidothrix_coronata-1.0.112,1079577334,6300283
Lepisosteus_oculatus,LepOcu1.112,945878036,20289272
Leptobrachium_leishanense,ASM966780v1.112,3549060464,29506336
Lonchura_striata_domestica,LonStrDom1.112,1060169706,5150330
Loxodonta_africana,loxAfr3.112,3196760833,13148679
Lynx_canadensis,mLynCan4_v1.p.112,2408883772,22037459
Macaca_fascicularis,Macaca_fascicularis_6.0.112,2906155132,33999919
Macaca_mulatta,Mmul_10.112,2971331530,35380494
Macaca_nemestrina,Mnem_1.0.112,2948703511,16500846
Malurus_cyaneus_samueli,mCya_1.0.112,1078874851,11795479
Manacus_vitellinus,ASM171598v2.112,1213150360,11502252
Mandrillus_leucophaeus,Mleu.le_1.0.112,3062009387,6349434
Marmota_marmota_marmota,marMar2.1.112,2510587379,13676069
Mastacembelus_armatus,fMasArm1.2.112,591951587,17237365
Maylandia_zebra,M_zebra_UMD2a.112,957485262,21956728
Meleagris_gallopavo,Turkey_5.1.112,1115474681,13811831
Melopsittacus_undulatus,bMelUnd1.mat.Z.112,1171617451,15773912
Meriones_unguiculatus,MunDraft-v1.0.112,2523124066,2437627
Mesocricetus_auratus,MesAur1.0.112,2504925039,12317885
Microcebus_murinus,Mmur_3.0.112,2487409138,25536670
Mola_mola,ASM169857v1.112,639451992,9738318
Monodelphis_domestica,ASM229v1.112,3600504728,29520918
Monodon_monoceros,NGI_Narwhal_1.112,2355574979,19535652
Monopterus_albus,M_albus_1.0.112,684144148,5847688
Moschus_moschiferus,MosMos_v2_BIUU_UCD.112,3069608437,13008079
Mus_caroli,CAROLI_EIJ_v1.1.112,2553112587,40781677
Mus_musculus_129s1svimj,129S1_SvImJ_v1.112,2732657393,42781249
Mus_musculus_aj,A_J_v1.112,2629979094,42700951
Mus_musculus_akrj,AKR_J_v1.112,2712691254,42761193
Mus_musculus_balbcj,BALB_cJ_v1.112,2627327954,42763126
Mus_musculus_c3hhej,C3H_HeJ_v1.112,2701115015,42821681
Mus_musculus_c57bl6nj,C57BL_6NJ_v1.112,2806783987,43398817
Mus_musculus_casteij,CAST_EiJ_v1.112,2653974351,42177767
Mus_musculus_cbaj,CBA_J_v1.112,2921711655,43065072
Mus_musculus_dba2j,DBA_2J_v1.112,2606145858,42642916
Mus_musculus_fvbnj,FVB_NJ_v1.112,2588602990,42417080
Mus_musculus,GRCm39.112,2728222451,54875524
Mus_musculus_lpj,LP_J_v1.112,2730782202,42681632
Mus_musculus_nodshiltj,NOD_ShiLtJ_v1.112,2982046949,43262486
Mus_musculus_nzohlltj,NZO_HlLtJ_v1.112,2699250994,43152940
Mus_musculus_pwkphj,PWK_PhJ_v1.112,2559971091,42080785
Mus_musculus_wsbeij,WSB_EiJ_v1.112,2689641256,42544852
Mus_pahari,PAHARI_EIJ_v1.1.112,2475012951,39056838
Mus_spicilegus,MUSP714.112,2496083520,5011686
Mus_spretus,SPRET_EiJ_v1.112,2625571169,41719517
Mustela_putorius_furo,MusPutFur1.0.112,2410758013,13382619
Myotis_lucifugus,Myoluc2.0.112,2034575300,6563922
Myripristis_murdjan,fMyrMur1.1.112,835254674,18551907
Naja_naja,Nana_v5.112,1768535092,17771536
Nannospalax_galili,S.galili_v1.0.112,3061408210,6366444
Neogobius_melanostomus,RGoby_Basel_V2.112,1003738541,7951568
Neolamprologus_brichardi,NeoBri1.0.112,847910432,8920652
Neovison_vison,NNQGG.v01.112,2447205843,8938378
Nomascus_leucogenys,Nleu_3.0.112,2962060179,21606813
Notamacropus_eugenii,Meug_1.0.112,2955773937,292157
Notechis_scutatus,TS10Xv2-PRI.112,1665525958,7383113
Nothobranchius_furzeri,Nfu_20140520.112,1242518059,19664731
Nothoprocta_perdicaria,notPer1.112,965904370,5044530
Numida_meleagris,NumMel1.0.112,1043264150,17125422
Ochotona_princeps,OchPri2.0-Ens.112,4781903803,1012954
Octodon_degus,OctDeg1.0.112,2995872505,10538368
Oncorhynchus_kisutch,Okis_V2.112,2375894934,41225285
Oncorhynchus_mykiss,USDA_OmykA_1.1.112,2341671972,43163758
Oncorhynchus_tshawytscha,Otsh_v2.0.112,2294859190,46601617
Ornithorhynchus_anatinus,mOrnAna1.p.v1.112,1858552590,20893044
Oryctolagus_cuniculus,OryCun2.0.112,2737490501,19633526
Oryzias_javanicus,OJAV_1.1.112,809679899,19706399
Oryzias_latipes,ASM223467v1.112,734057086,21798936
Oryzias_latipes_hni,ASM223471v1.112,677633405,20773044
Oryzias_latipes_hsok,ASM223469v1.112,744414398,21802027
Oryzias_melastigma,Om_v0.7.RACA.112,779452910,18937379
Oryzias_sinensis,ASM858656v1.112,813986518,4290999
Otolemur_garnettii,OtoGar3.112,2519404493,11270868
Otus_sunia,OtuSun1.0.112,1231433939,11006177
Ovis_aries,Oar_v3.1.112,2619054388,20509782
Ovis_aries_rambouillet,ARS-UI_Ramb_v2.0.112,2628146905,41098451
Pan_paniscus,panpan1.1.112,3286643896,26129673
Panthera_leo,PanLeo1.0.112,2406807619,17580757
Panthera_pardus,PanPar1.0.112,2578019207,14877837
Panthera_tigris_altaica,PanTig1.0.112,2391065193,9368388
Pan_troglodytes,Pan_tro_3.0.112,3231170666,30200052
Papio_anubis,Panubis1.0.112,2869821163,23607052
Parambassis_ranga,fParRan2.2.112,551012959,17305945
Paramormyrops_kingsleyae,PKINGS_0.1.112,799421083,4887739
Parus_major,Parus_major1.1.112,1020310768,16214406
Pavo_cristatus,AIIM_Pcri_1.0.112,1027510962,1223952
Pelodiscus_sinensis,PelSin_1.0.112,2202483752,6207881
Pelusios_castaneus,Pelusios_castaneus-1.0.112,2044278682,11517750
Periophthalmus_magnuspinnatus,fPerMag1.2.pri.112,701696780,17468699
Peromyscus_maniculatus_bairdii,HU_Pman_2.1.112,2512423440,16251347
Petromyzon_marinus,Pmarinus_7.0.112,885550958,810961
Phascolarctos_cinereus,phaCin_unsw_v4.1.112,3192581492,12746627
Phasianus_colchicus,ASM414374v1.112,1017507340,10321228
Phocoena_sinus,mPhoSin1.pri.112,2371524154,23976642
Physeter_catodon,ASM283717v2.112,2512132974,16799572
Piliocolobus_tephrosceles,ASM277652v2.112,3038007327,12188020
Podarcis_muralis,PodMur_1.0.112,1511002858,21451670
Poecilia_formosa,PoeFor_5.1.2.112,748923461,4988352
Poecilia_latipinna,P_latipinna-1.0.112,815144743,1057404
Poecilia_mexicana,P_mexicana-1.0.112,801711499,1084881
Poecilia_reticulata,Guppy_female_1.0_MT.112,731622281,17533187
Pogona_vitticeps,pvi1.1.112,1816116151,5392266
Pongo_abelii,Susie_PABv2.112,3065052215,23679399
Procavia_capensis,proCap1.112,2993339806,443624
Prolemur_simus,Prosim_1.0.112,2411593676,4764696
Propithecus_coquereli,Pcoq_1.0.112,2798152141,8252502
Pseudonaja_textilis,EBS10Xv2-PRI.112,1590035073,11235385
Pteropus_vampyrus,pteVam1.112,1999614463,869750
Pundamilia_nyererei,PunNye1.0.112,830133247,6029706
Pygocentrus_nattereri,fPygNat1.pri.112,1222050449,24593094
Rattus_norvegicus,mRatBN7.2.112,2647915728,33793953
Rattus_norvegicus_shrspbbbutx,UTH_Rnor_SHRSP_BbbUtx_1.0.112,2907517304,32350739
Rattus_norvegicus_shrutx,UTH_Rnor_SHR_Utx.112,2866391611,32246732
Rattus_norvegicus_wkybbb,UTH_Rnor_WKY_Bbb_1.0.112,2910747220,32263909
Rhinolophus_ferrumequinum,mRhiFer1_v1.p.112,2075768562,20546708
Rhinopithecus_bieti,ASM169854v1.112,2977074946,5559500
Rhinopithecus_roxellana,Rrox_v1.112,2899552139,4610485
Saccharomyces_cerevisiae,R64-1-1.112,12157105,1223104
Saimiri_boliviensis_boliviensis,SaiBol1.0.112,2608588537,16585160
Salarias_fasciatus,fSalaFa1.1.112,797490645,19076674
Salmo_salar_gca021399835v1,USDA_NASsal_1.1.112,2829823532,59384502
Salmo_salar_gca923944775v1,Ssal_Brian_v1.0.112,2624445891,57469129
Salmo_salar_gca931346935v2,Ssal_ALTA.112,2621787693,29844728
Salmo_salar,Ssal_v3.1.112,2756584103,66842282
Salmo_trutta,fSalTru1.1.112,2371880186,39645154
Salvator_merianae,HLtupMer3.112,2026218827,15389654
Sander_lucioperca,SLUC_FBN_1.112,900477767,9623286
Sarcophilus_harrisii,mSarHar1.11.112,3086674442,40745451
Sciurus_vulgaris,mSciVul1.1.112,2878591032,19749273
Scleropages_formosus,fSclFor1.1.112,784546363,22375518
Scophthalmus_maximus,ASM1334776v1.112,556696898,17664653
Serinus_canaria,SCA1.112,1152083301,12148853
Seriola_dumerili,Sdu_1.0.112,677686174,11293326
Seriola_lalandi_dorsalis,Sedor1.112,732509836,4599492
Sinocyclocheilus_anshuiensis,SAMN03320099.WGS_v1.1.112,1632718266,4205240
Sinocyclocheilus_grahami,SAMN03320097.WGS_v1.1.112,1750287761,4779614
