Species,Genome_size,Positive Strand Range,Negative Strand Range,Average Range,Exon_to_genome_ratio
Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190649881,507389,559342,533365,0.00044796124243681
Ailuropoda_melanoleuca.ASM200744v2.112,2444060653,21311117,21448659,21379888,0.00874769125461634
Amazona_collaria.ASM394721v1.112,1258720284,10326052,9915899,10120975,0.00804068634521186
Amphilophus_citrinellus.Midas_v5.112,844902565,3522304,3498842,3510573,0.00415500336420449
Amphiprion_ocellaris.ASM2253959v1.112,863484803,23552001,23694595,23623298,0.0273580935274434
Amphiprion_percula.Nemo_v1.112,908939294,22441141,22388183,22414662,0.024660240951141
Anabas_testudineus.fAnaTes1.3.112,555641398,18885927,18981806,18933866,0.0340756935465057
Anas_platyrhynchos.ASM874695v1.112,1211992756,16453000,15996141,16224570,0.0133866889217612
Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.112,1136415614,17291826,17238983,17265404,0.0151928605936947
Anas_zonorhyncha.ASM222487v1.112,1310797575,5286412,5189916,5238164,0.00399616546437386
Anolis_carolinensis.AnoCar2.0v2.112,1799143587,16365155,16243869,16304512,0.0090623739638186
Anser_brachyrhynchus.ASM259213v1.112,1116992394,7755102,7857513,7806307,0.00698868411453122
Anser_cygnoides.GooseV1.0.112,1130276682,7392327,7278274,7335300,0.00648982688647557
Aotus_nancymaae.Anan_2.0.112,2861668348,10705467,10877971,10791719,0.00377112847739405
Apteryx_haastii.aptHaa1.112,1221441152,3586187,3499725,3542956,0.0029006358547841
Apteryx_owenii.aptOwe1.112,1231276503,4424505,4395359,4409932,0.00358159356509705
Apteryx_rowi.aptRow1.112,1228902913,4703474,4596028,4649751,0.00378366016616318
Astatotilapia_calliptera.fAstCal1.3.112,880428986,26940183,27300632,27120407,0.0308036280395702
Astyanax_mexicanus.Astyanax_mexicanus-2.0.112,1335239194,22474980,22035336,22255158,0.016667543987628
Astyanax_mexicanus_pachon.Astyanax_mexicanus-1.0.2.112,1191242572,4968923,4892319,4930621,0.00413905707862832
Athene_cunicularia.athCun1.112,1157069330,12850917,13276425,13063671,0.011290309630798
Balaenoptera_musculus.mBalMus1.v2.112,2379995981,20438929,20358537,20398733,0.00857091069180255
Betta_splendens.fBetSpl5.2.112,441371523,17378662,17031816,17205239,0.0389813073644989
Bison_bison_bison.Bison_UMD1.0.112,2953622319,8417535,8495250,8456392,0.00286305799682034
Bos_grunniens.LU_Bosgru_v3.0.112,2832776395,22670186,22707629,22688907,0.00800942391360191
Bos_indicus_hybrid.UOA_Brahman_1.112,2680953056,30656934,30338299,30497616,0.01137566207351
Bos_mutus.BosGru_v2.0.112,2645161911,3375527,3391635,3383581,0.00127915837058188
Bos_taurus.ARS-UCD1.3.112,2711209831,36468062,36374117,36421089,0.0134335190819836
Bos_taurus_hybrid.UOA_Angus_1.112,2580764822,29352153,28917828,29134990,0.0112892851574989
Bubo_bubo.BubBub1.0.112,1258069325,7879528,7838956,7859242,0.00624706591586278
Buteo_japonicus.ButJap1.0.112,1259715124,7303162,7330547,7316854,0.00580834020374911
Caenorhabditis_elegans.WBcel235.112,100286401,11625531,11307748,11466639,0.114338922183477
Cairina_moschata_domestica.CaiMos1.0.112,1109207201,15756422,15284993,15520707,0.0139926129094793
Calidris_pugnax.ASM143184v1.112,1229094286,10181534,10042728,10112131,0.00822730291335843
Calidris_pygmaea.ASM369795v1.112,1178350366,5930643,5818881,5874762,0.00498558168224815
Callithrix_jacchus.mCalJac1.pat.X.112,2829711198,29470923,28316492,28893707,0.0102108324766222
Callorhinchus_milii.Callorhinchus_milii-6.1.3.112,974498586,7678633,7751091,7714862,0.00791675032763978
Camarhynchus_parvulus.Camarhynchus_parvulus_V1.1.112,1064016364,15824210,14968937,15396573,0.0144702407979131
Camelus_dromedarius.CamDro2.112,2154386959,20093891,20180400,20137145,0.00934704181896229
Canis_lupus_dingo.ASM325472v1.112,2439831507,16029284,15807694,15918489,0.00652442144235331
Canis_lupus_familiarisbasenji.Basenji_breed-1.1.112,2410429933,20757901,20454855,20606378,0.00854883924145162
Canis_lupus_familiarisboxer.Dog10K_Boxer_Tasha.112,2312785471,31228262,31418876,31323569,0.0135436552126282
Canis_lupus_familiarisgreatdane.UMICH_Zoey_3.1.112,2343202000,21249685,20960064,21104874,0.00900685216212687
Canis_lupus_familiarisgsd.UU_Cfam_GSD_1.0.112,2481983352,31968403,32299626,32134014,0.0129469095649277
Canis_lupus_familiaris.ROS_Cfam_1.0.112,2396858295,31127477,31437255,31282366,0.013051404025535
Capra_hircus.ARS1.112,2922813246,22501328,23044282,22772805,0.00779139927300028
Capra_hircus_blackbengal.CVASU_BBG_1.0.112,3041623660,32918314,31064362,31991338,0.0105178488781219
Carassius_auratus.ASM336829v1.112,1820635050,25068928,24811916,24940422,0.013698748686619
Carlito_syrichta.Tarsius_syrichta-2.0.1.112,3453864774,1459298,1425224,1442261,0.000417578884632963
Castor_canadensis.C.can_genome_v1.0.112,2518306565,1772900,1740416,1756658,0.000697555263689669
Catagonus_wagneri.CatWag_v2_BIUU_UCD.112,2640067814,12594820,12768998,12681909,0.00480363001766439
Catharus_ustulatus.bCatUst1.pri.112,1131616430,13831491,13959260,13895375,0.0122792269815312
Cavia_aperea.CavAp1.0.112,2716396567,9140788,9155039,9147913,0.00336766476262448
Cavia_porcellus.Cavpor3.0.112,2723219641,18294770,18208038,18251404,0.00670214173150494
Cebus_imitator.Cebus_imitator-1.0.112,2717703182,9001957,9065583,9033770,0.00332404585601284
Cercocebus_atys.Caty_1.0.112,2848246356,15431959,15404061,15418010,0.00541315886089735
Cervus_hanglu_yarkandensis.CEY_v1.112,2594114534,22540207,21867609,22203908,0.00855933988610851
Chelonoidis_abingdonii.ASM359739v1.112,2300739315,3526084,3528087,3527085,0.00153302244065838
Chelydra_serpentina.Chelydra_serpentina-1.0.112,2401360239,12882128,13081490,12981809,0.00540602313187547
Chinchilla_lanigera.ChiLan1.0.112,2390868971,18307182,18212484,18259833,0.00763732066519843
Chlorocebus_sabaeus.ChlSab1.1.112,2789656328,23115363,22928533,23021948,0.00825261082124235
Choloepus_hoffmanni.choHof1.112,2467493193,280880,267568,274224,0.000111134653087572
Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3.112,2365766571,11444160,11324370,11384265,0.00481208295845854
Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0.112,1023990748,3480184,3515946,3498065,0.00341610996664982
Ciona_intestinalis.KH.112,115227500,5038927,4823791,4931359,0.0427967195330976
Ciona_savignyi.CSAV2.0.112,177003750,3100449,3067555,3084002,0.0174233709737788
Clupea_harengus.Ch_v2.0.2v2.112,786325606,22077709,22003615,22040662,0.0280299431073087
Colobus_angolensis_palliatus.Cang.pa_1.0.112,2970124662,10350444,10311124,10330784,0.00347823245676279
Corvus_moneduloides.bCorMon1.pri.112,1112734094,15963103,16170264,16066683,0.0144389239860929
Cottoperca_gobio.fCotGob3.1.112,609391784,18566550,18397228,18481889,0.0303284184087392
Coturnix_japonica.Coturnix_japonica_2.0.112,927656957,15995271,15847658,15921464,0.0171630944821341
Cricetulus_griseus_chok1gshd.CHOK1GS_HDv1.112,2358167390,19521268,19279967,19400617,0.00822698892464966
Cricetulus_griseus_crigri.CriGri_1.0.112,2399786748,3605211,3582010,3593610,0.00149747055774641
Cricetulus_griseus_picr.CriGri-PICRH-1.0.112,2366634374,38718870,38401241,38560055,0.0162932033032323
Crocodylus_porosus.CroPor_comp1.112,2049536252,15437887,15525598,15481742,0.00755377807291403
Cyanistes_caeruleus.cyaCae2.112,1186980630,12987821,12513987,12750904,0.0107423016667087
Cyclopterus_lumpus.fCycLum1.pri.112,572885595,15585261,15645352,15615306,0.0272572851129203
Cynoglossus_semilaevis.Cse_v1.0.112,470199494,17538839,16856136,17197487,0.0365748734727477
Cyprinodon_variegatus.C_variegatus-1.0.112,1035184475,2612294,2597975,2605134,0.00251658913257949
Cyprinus_carpio_carpio.Cypcar_WagV4.0.112,1460365368,32462000,31851887,32156943,0.0220197929262316
Cyprinus_carpio_germanmirror.German_Mirror_carp_1.0.112,1414711435,8947031,8949381,8948206,0.00632511039256568
Cyprinus_carpio_hebaored.Hebao_red_carp_1.0.112,1457977772,4293720,4175181,4234450,0.00290433097220086
Cyprinus_carpio_huanghe.Hunaghe_carp_2.0.112,1423633724,6093706,6305687,6199696,0.00435483923672491
Danio_rerio.GRCz11.112,1373471384,28043473,28393557,28218515,0.0205453971074508
Dasypus_novemcinctus.Dasnov3.0.112,3631522711,4548947,4438193,4493570,0.00123737901635279
Delphinapterus_leucas.ASM228892v3.112,2362774659,16280061,16462657,16371359,0.00692887023214007
Denticeps_clupeoides.fDenClu1.2.112,567401054,18508919,18643380,18576149,0.0327390103861175
Dicentrarchus_labrax.dlabrax2021.112,695892153,24451823,24539359,24495591,0.0352002690278935
Dipodomys_ordii.Dord_2.0.112,2236368823,10860588,10527388,10693988,0.0047818534626388
Dromaius_novaehollandiae.droNov1.112,1192237364,5442314,5382370,5412342,0.00453965138438657
Drosophila_melanogaster.BDGP6.46.112,143726002,16598852,16533052,16565952,0.115260647130503
Echeneis_naucrates.fEcheNa1.1.112,544212633,15926572,16135382,16030977,0.0294571938024085
Echinops_telfairi.TENREC.112,3833584941,575968,586353,581160,0.000151597006182
Electrophorus_electricus.fEleEle1.pri.112,589358956,16490779,16590297,16540538,0.0280653035499133
Eptatretus_burgeri.Eburgeri_3.2.112,2608383542,5282246,5181446,5231846,0.00200578094277824
Equus_asinus.ASM1607732v2.112,2431907375,34344642,34599268,34471955,0.0141748634649377
Equus_caballus.EquCab3.0.112,2506966135,30717619,30984541,30851080,0.012306141502785
Erinaceus_europaeus.HEDGEHOG.112,3377541562,481962,512868,497415,0.000147271318759275
Erpetoichthys_calabaricus.fErpCal1.1.112,3811022027,22225987,21708069,21967028,0.0057640779413947
Erythrura_gouldiae.GouldianFinch.112,1070785140,10574402,10597831,10586116,0.00988631201960834
Esox_lucius.fEsoLuc1.pri.112,918748614,26800314,27028033,26914173,0.0292943821518516
Falco_tinnunculus.FalTin1.0.112,1179901403,12808709,12573113,12690911,0.010755908051073
Felis_catus.Felis_catus_9.0.112,2521863845,25801369,25340701,25571035,0.0101397365487033
Ficedula_albicollis.FicAlb1.5.112,1118343587,16922589,16573586,16748087,0.014975797415647
Fukomys_damarensis.DMR_v1.0.112,2333908851,9027256,8999756,9013506,0.00386197858418422
Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.112,1021898560,3857706,3915356,3886531,0.00380324540236166
Gadus_morhua.gadMor3.0.112,669949713,19894838,19555582,19725210,0.0294428217778787
Gadus_morhua_gca010882105v1.gadMor_Celtic.112,684268512,22336671,22479294,22407982,0.0327473522557765
Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.112,1053332251,37438540,37047621,37243080,0.0353573907612177
Gallus_gallus_gca000002315v5.GRCg6a.112,1065365425,37710978,37776217,37743597,0.035427841109073
Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.112,1048336660,37681285,37513411,37597348,0.0358638111539474
Gambusia_affinis.ASM309773v1.112,598663367,11140423,11220062,11180242,0.0186753401264988
Gasterosteus_aculeatus.GAculeatus_UGA_version5.112,471877818,21635689,21268877,21452283,0.0454615202954931
Gasterosteus_aculeatus_gca006229185v1.BOT.112,427295814,1550134,1594915,1572524,0.0036801764690351
Gasterosteus_aculeatus_gca006232265v1.BAM.112,445644378,2368363,2359025,2363694,0.00530399151585393
Gasterosteus_aculeatus_gca006232285v1.SYL.112,431811987,1969382,1877859,1923620,0.00445476285492742
Geospiza_fortis.GeoFor_1.0.112,1065292181,7292205,7387812,7340008,0.00689013599359179
Gopherus_agassizii.ASM289641v1.112,2184966080,892086,912529,902307,0.000412961559568009
Gopherus_evgoodei.rGopEvg1_v1.p.112,2298547364,18468681,18395712,18432196,0.00801906294761912
Gorilla_gorilla.gorGor4.112,3063362794,25406063,24879532,25142797,0.00820758058733542
Gouania_willdenowi.fGouWil2.1.112,937150793,20597085,20622612,20609848,0.0219920296220675
Heterocephalus_glaber_female.Naked_mole-rat_maternal.112,2500150894,33955917,34716351,34336134,0.0137336246713755
Heterocephalus_glaber_male.Naked_mole-rat_paternal.112,2499457497,33277139,34660233,33968686,0.0135904235382163
Hippocampus_comes.H_comes_QL1_v1.112,493775940,5024000,5030988,5027494,0.0101817314144549
Homo_sapiens.GRCh38.112,3099750718,66111980,63716724,64914352,0.0209417975526379
Hucho_hucho.ASM331708v1.112,2487549814,2314446,2204091,2259268,0.000908230254238438
Ictalurus_punctatus.ASM400665v3.112,1036985268,24058069,23739406,23898737,0.0230463611562127
Ictidomys_tridecemlineatus.SpeTri2.0.112,2478410228,12542126,12656299,12599212,0.00508358618668515
Jaculus_jaculus.JacJac1.0.112,2835250225,11481260,11723650,11602455,0.00409221552923076
Junco_hyemalis.ASM382977v1.112,958315288,14856649,14726530,14791589,0.0154349922047784
Kryptolebias_marmoratus.ASM164957v1.112,680366784,6728669,6697486,6713077,0.00986684999601627
Labrus_bergylta.BallGen_V1.112,805480521,3357174,3350925,3354049,0.00416403489911335
Larimichthys_crocea.L_crocea_2.0.112,657939657,20170135,19908978,20039556,0.0304580454860772
Lates_calcarifer.ASB_HGAPassembly_v1.112,668464831,6848235,6666355,6757295,0.0101086769065941
Laticauda_laticaudata.latLat_1.0.112,1558706106,439744,440417,440080,0.000282336739623961
Latimeria_chalumnae.LatCha1.112,2860591921,3802756,3651453,3727104,0.0013029135587774
Lepidothrix_coronata.Lepidothrix_coronata-1.0.112,1079577334,6294878,6305688,6300283,0.00583587928495727
Lepisosteus_oculatus.LepOcu1.112,945878036,19976122,20602423,20289272,0.0214501988922386
Leptobrachium_leishanense.ASM966780v1.112,3549060464,29877161,29135511,29506336,0.00831384426929279
Lonchura_striata_domestica.LonStrDom1.112,1060169706,5161638,5139023,5150330,0.0048580241171313
Loxodonta_africana.loxAfr3.112,3196760833,13308172,12989186,13148679,0.00411312565652921
Lynx_canadensis.mLynCan4_v1.p.112,2408883772,22125716,21949202,22037459,0.00914841108406952
Macaca_fascicularis.Macaca_fascicularis_6.0.112,2906155132,34790231,33209607,33999919,0.0116992787568781
Macaca_mulatta.Mmul_10.112,2971331530,35951248,34809741,35380494,0.0119072858894342
Macaca_nemestrina.Mnem_1.0.112,2948703511,16473563,16528129,16500846,0.00559596647762122
Malurus_cyaneus_samueli.mCya_1.0.112,1078874851,11871848,11719111,11795479,0.0109331300002654
Manacus_vitellinus.ASM171598v2.112,1213150360,11574647,11429858,11502252,0.00948130782403593
Mandrillus_leucophaeus.Mleu.le_1.0.112,3062009387,6374371,6324498,6349434,0.0020736167651729
Marmota_marmota_marmota.marMar2.1.112,2510587379,13610180,13741959,13676069,0.00544735830124636
Mastacembelus_armatus.fMasArm1.2.112,591951587,17162047,17312683,17237365,0.0291195519676848
Maylandia_zebra.M_zebra_UMD2a.112,957485262,22230496,21682960,21956728,0.022931661584155
Meleagris_gallopavo.Turkey_5.1.112,1115474681,13871705,13751958,13811831,0.0123820210671371
Melopsittacus_undulatus.bMelUnd1.mat.Z.112,1171617451,15888227,15659598,15773912,0.0134633638194247
Meriones_unguiculatus.MunDraft-v1.0.112,2523124066,2483691,2391564,2437627,0.000966114600882254
Mesocricetus_auratus.MesAur1.0.112,2504925039,12133444,12502327,12317885,0.00491746651425444
Microcebus_murinus.Mmur_3.0.112,2487409138,25732840,25340501,25536670,0.0102663729942444
Mola_mola.ASM169857v1.112,639451992,9661427,9815210,9738318,0.0152291620353573
Monodelphis_domestica.ASM229v1.112,3600504728,29939053,29102784,29520918,0.00819910546719327
Monodon_monoceros.NGI_Narwhal_1.112,2355574979,19549830,19521474,19535652,0.00829336878433535
Monopterus_albus.M_albus_1.0.112,684144148,5826445,5868931,5847688,0.00854745014935069
Moschus_moschiferus.MosMos_v2_BIUU_UCD.112,3069608437,12960938,13055221,13008079,0.00423769978059909
Mus_caroli.CAROLI_EIJ_v1.1.112,2553112587,41095698,40467657,40781677,0.0159733171218743
Mus_musculus_129s1svimj.129S1_SvImJ_v1.112,2732657393,43051569,42510929,42781249,0.0156555480059772
Mus_musculus_aj.A_J_v1.112,2629979094,42894707,42507196,42700951,0.0162362321044366
Mus_musculus_akrj.AKR_J_v1.112,2712691254,43060413,42461974,42761193,0.01576338366445
Mus_musculus_balbcj.BALB_cJ_v1.112,2627327954,43057676,42468577,42763126,0.0162762802165199
Mus_musculus_c3hhej.C3H_HeJ_v1.112,2701115015,42960050,42683312,42821681,0.0158533349236149
Mus_musculus_c57bl6nj.C57BL_6NJ_v1.112,2806783987,43584955,43212680,43398817,0.0154621150758332
Mus_musculus_casteij.CAST_EiJ_v1.112,2653974351,42518477,41837058,42177767,0.015892303926791
Mus_musculus_cbaj.CBA_J_v1.112,2921711655,43289521,42840623,43065072,0.0147396721802789
Mus_musculus_dba2j.DBA_2J_v1.112,2606145858,42861352,42424480,42642916,0.016362444131475
Mus_musculus_fvbnj.FVB_NJ_v1.112,2588602990,42651352,42182808,42417080,0.0163860893941098
Mus_musculus.GRCm39.112,2728222451,55022031,54729017,54875524,0.0201140211201935
Mus_musculus_lpj.LP_J_v1.112,2730782202,42919967,42443297,42681632,0.0156298191663694
Mus_musculus_nodshiltj.NOD_ShiLtJ_v1.112,2982046949,43543680,42981292,43262486,0.0145076475118903
Mus_musculus_nzohlltj.NZO_HlLtJ_v1.112,2699250994,43473895,42831986,43152940,0.015987005319595
Mus_musculus_pwkphj.PWK_PhJ_v1.112,2559971091,42281366,41880204,42080785,0.0164379922679369
Mus_musculus_wsbeij.WSB_EiJ_v1.112,2689641256,42839261,42250443,42544852,0.0158180396382201
Mus_pahari.PAHARI_EIJ_v1.1.112,2475012951,39302527,38811150,39056838,0.0157804580312275
Mus_spicilegus.MUSP714.112,2496083520,5032055,4991318,5011686,0.00200781983449015
Mus_spretus.SPRET_EiJ_v1.112,2625571169,41964086,41474948,41719517,0.0158896919240204
Mustela_putorius_furo.MusPutFur1.0.112,2410758013,13390430,13374809,13382619,0.00555120793038302
Myotis_lucifugus.Myoluc2.0.112,2034575300,6582124,6545720,6563922,0.00322618779457315
Myripristis_murdjan.fMyrMur1.1.112,835254674,18611964,18491851,18551907,0.0222110783423165
Naja_naja.Nana_v5.112,1768535092,17810498,17732574,17771536,0.0100487324681257
Nannospalax_galili.S.galili_v1.0.112,3061408210,6367604,6365284,6366444,0.00207958023343774
Neogobius_melanostomus.RGoby_Basel_V2.112,1003738541,7949987,7953149,7951568,0.00792195145966802
Neolamprologus_brichardi.NeoBri1.0.112,847910432,8939635,8901669,8920652,0.0105207480216495
Neovison_vison.NNQGG.v01.112,2447205843,8978405,8898351,8938378,0.00365248310662848
Nomascus_leucogenys.Nleu_3.0.112,2962060179,21664542,21549085,21606813,0.00729452195238468
Notamacropus_eugenii.Meug_1.0.112,2955773937,285016,299298,292157,9.88428094391171E-05
Notechis_scutatus.TS10Xv2-PRI.112,1665525958,7358533,7407693,7383113,0.00443290178969399
Nothobranchius_furzeri.Nfu_20140520.112,1242518059,19642862,19686600,19664731,0.0158265152426247
Nothoprocta_perdicaria.notPer1.112,965904370,5040137,5048924,5044530,0.00522259776089428
